item                                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                               -722278. 1.2241   14.33951 -722278. -722307. -722251. 1384909. 137.2255 NaN     
likelihood                              -721946. 0.151516 5.94142  -721946. -721957. -721935. 123592.1 1537.678 NaN     
prior                                   -332.420 1.306979 13.08156 -331.918 -358.185 -307.014 1897030. 100.1802 NaN     
treeLikelihood.cerris                   -721946. 0.151516 5.94142  -721946. -721957. -721935. 123592.1 1537.678 NaN     
TreeHeight                              55.84265 0.277582 2.123949 55.93535 52.01442 59.51933 3246024. 58.54700 55.80206
mutationRate                            1        0        0        1        1        1        NaN      NaN      1       
proportionInvariant                     0.848714 0.000739 0.008034 0.8489   0.833345 0.864593 1606900. 118.2680 0.848675
gammaShape                              0.745453 0.008586 0.100479 0.737717 0.553308 0.947261 1387745. 136.9451 0.738774
rateAC                                  0.299753 0.000102 0.009163 0.299768 0.281736 0.317489 23682.78 8024.605 0.299613
rateAG                                  0.938923 0.000308 0.021883 0.938494 0.89684  0.98212  37640.60 5048.935 0.938668
rateAT                                  0.270378 9.09E-5  0.007342 0.270347 0.256646 0.28547  29099.94 6530.768 0.270279
rateCG                                  0.343507 0.000126 0.011901 0.343385 0.320959 0.367621 21257.14 8940.287 0.343301
rateGT                                  0.307626 0.000107 0.00939  0.307623 0.289431 0.32601  24540.24 7744.218 0.307483
ucldMean                                0.0743   0.050261 0.173027 0.001064 0.000117 0.525959 16035546 11.85148 0.002426
ucldStdev                               2.009137 0.436066 1.474121 1.892136 0.414997 4.303492 16630094 11.42777 1.411848
rate.mean                               0.001246 0.000603 0.00714  0.000174 0.000117 0.003294 1353874. 140.3711 0.000294
rate.variance                           0.011818 0.008635 0.061725 1.4E-6   2.71E-9  0.03264  3719718. 51.09123 1.84E-6 
rate.coefficientOfVariation             3.371912 0.836072 3.197557 2.334086 0.376935 9.840145 12992939 14.62679 1.902372
FBD                                     -315.236 1.144764 13.09658 -314.867 -341.643 -290.086 1452017. 130.8834 NaN     
diversificationRateFBD                  0.030715 0.000525 0.011194 0.030071 0.009261 0.052743 417599.0 455.0896 0.028417
turnoverFBD                             0.605303 0.000713 0.10568  0.598462 0.411046 0.819533 8651.913 21965.66 0.596125
samplingProportionFBD                   0.536404 0.00142  0.049183 0.547733 0.437952 0.6      158512.6 1198.926 0.534017
originFBD                               57.68504 0.161736 1.831425 58.12592 54.04110 59.99999 1482156. 128.2219 57.65539
SACountFBD                              37.81564 0.138804 2.765342 38       32       42       478807.7 396.9129 37.71175
mrca.date-backward(alnifolia)           19.46454 0.057358 1.867213 18.58    18.58    23.61300 179329.3 1059.753 19.38730
mrca.date-backward(castaneifolia)       3.573996 0.005913 0.445763 3.51     3.51     3.51     33442.82 5682.684 3.557161
mrca.date-backward(cerris1)             10.78089 0.407428 2.971233 10.80784 4.37     15.68988 3573423. 53.18289 10.35425
mrca.date-backward(cerris_aegilops)     12.60772 0.434063 2.794374 11.79612 10.03    18.54480 4585564. 41.44418 12.34265
mrca.date-backward(cerris_all)          50.78501 0.236401 1.964982 49.62    49.62    55.31296 2750666. 69.09052 50.74857
mrca.date-backward(cerris_eastAsia)     35.53678 0.088993 1.44567  35       35       38.45784 720154.4 263.8947 35.51023
mrca.date-backward(cerris_wEurasia)     35.17472 0.154507 2.158895 33.89    33.89    39.87681 973389.8 195.2403 35.11376
mrca.date-backward(floribunda)          33.21200 0.014128 0.803665 33       33       34.69257 58730.04 3235.907 33.20297
mrca.date-backward(ilex_all)            51.82607 0.142786 1.483952 50.87385 50.86    55.16309 1759499. 108.0108 51.80549
mrca.date-backward(ilex_clade)          21.06941 0.161379 2.470121 20.48465 18.54    25.83531 811172.2 234.2844 20.93672
mrca.date-backward(ilex_semecarpifolia) 34.88628 0.080137 1.147986 34.42    34.42    37.55372 926086.4 205.2130 34.86858
mrca.date-backward(ilex_westbound)      33.39768 0.281364 2.815514 32.34814 31       39.12676 1897921. 100.1332 33.28579
mrca.date-backward(not_cyclobalanopsis) 54.19134 0.368254 2.207475 53.86628 50.86002 58.09016 5288825. 35.93330 54.14679
freqParameter.1                         0.309708 1.29E-5  0.000683 0.30972  0.308415 0.311047 67873.70 2799.979 0.309707
freqParameter.2                         0.188226 9.89E-6  0.000575 0.18823  0.18704  0.189306 56241.55 3379.084 0.188225
freqParameter.3                         0.190844 1.05E-5  0.000584 0.190832 0.189658 0.191949 61588.08 3085.742 0.190843
freqParameter.4                         0.311223 1.17E-5  0.000666 0.311224 0.309887 0.312473 58591.83 3243.540 0.311222
