item                                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                               -722276. 0.362522 12.90124 -722275. -722301. -722251. 89248.26 1266.467 NaN     
likelihood                              -721946. 0.060329 5.659928 -721945. -721957. -721935. 12841.56 8801.887 NaN     
prior                                   -330.008 0.361167 11.66318 -329.541 -353.207 -308.178 108386.6 1042.840 NaN     
treeLikelihood.cerris                   -721946. 0.060329 5.659928 -721945. -721957. -721935. 12841.56 8801.887 NaN     
TreeHeight                              57.68732 0.01573  1.148788 57.75250 55.56056 59.68322 21192.12 5333.585 57.67585
mutationRate                            1        0        0        1        1        1        NaN      NaN      1       
proportionInvariant                     0.849866 0.001047 0.008128 0.849435 0.835649 0.866539 1876268. 60.24190 0.849828
gammaShape                              0.760029 0.013234 0.107271 0.747272 0.569607 0.969629 1720286. 65.70416 0.752664
rateAC                                  0.299661 0.000121 0.008989 0.299712 0.28196  0.317344 20510.13 5510.933 0.299526
rateAG                                  0.938928 0.000386 0.020908 0.938775 0.897191 0.977983 38462.40 2938.713 0.938695
rateAT                                  0.270396 0.000121 0.007199 0.270237 0.256135 0.283937 32177.51 3512.701 0.2703  
rateCG                                  0.343407 0.000171 0.011795 0.343214 0.321137 0.367316 23865.56 4736.113 0.343205
rateGT                                  0.307576 0.000142 0.009231 0.307588 0.290063 0.326235 26685.18 4235.683 0.307437
ucldMean                                0.000161 1.2E-6   1.36E-5  0.000159 0.000136 0.000189 875995.8 129.0302 0.00016 
ucldStdev                               0.528232 0.004133 0.066794 0.520621 0.404918 0.66426  432778.0 261.1731 0.524166
rate.mean                               0.000149 7.14E-7  7.74E-6  0.000149 0.000134 0.000164 961130.2 117.6011 0.000149
rate.variance                           8.17E-9  1.91E-10 3.16E-9  7.5E-9   3.63E-9  1.43E-8  411785.9 274.4872 7.68E-9 
rate.coefficientOfVariation             0.560513 0.004094 0.077637 0.551136 0.416479 0.712531 314348.4 359.5691 0.555378
FBD                                     -317.144 0.360911 11.66613 -316.662 -341.022 -295.998 108178.5 1044.846 NaN     
diversificationRateFBD                  0.029097 0.000102 0.010279 0.028591 0.009483 0.049197 11084.85 10196.79 0.027085
turnoverFBD                             0.598982 0.000753 0.103646 0.591194 0.401707 0.800657 5973.234 18922.74 0.590046
samplingProportionFBD                   0.545207 0.000454 0.044628 0.556768 0.453848 0.599997 11707.58 9654.427 0.543263
originFBD                               58.77272 0.010642 0.978545 59.00643 56.80769 59.99990 13369.44 8454.350 58.76448
SACountFBD                              38.51734 0.061435 2.558911 39       34       43       65150.47 1734.906 38.43053
mrca.date-backward(alnifolia)           19.63232 0.03261  1.362037 19.05    19.05    22.81755 64791.17 1744.527 19.59030
mrca.date-backward(castaneifolia)       3.598683 0.00629  0.665824 3.48     3.48     3.48     10088.02 11204.36 3.563211
mrca.date-backward(cerris1)             12.30980 0.222175 1.85193  12.27518 8.59656  16.01417 1626799. 69.47996 12.16741
mrca.date-backward(cerris_aegilops)     13.60817 0.1255   1.702685 12.88568 12.37    16.99397 614062.2 184.0692 13.51464
mrca.date-backward(cerris_all)          53.66570 0.040585 1.448111 52.64    52.64    56.73951 88780.01 1273.146 53.64659
mrca.date-backward(cerris_eastAsia)     35.14144 0.011034 0.537964 35       35       36.10645 47546.92 2377.230 35.13754
mrca.date-backward(cerris_wEurasia)     33.12290 0.03783  1.421773 32.22    32.22    36.09998 80020.39 1412.514 33.09375
mrca.date-backward(floribunda)          33.11992 0.005032 0.542419 33       33       33.87982 9725.763 11621.70 33.11577
mrca.date-backward(ilex_all)            55.12240 0.015412 0.688893 54.82    54.82    56.76092 56572.08 1997.981 55.11819
mrca.date-backward(ilex_clade)          21.23073 0.126832 1.941398 20.86390 18.83    24.93282 482418.7 234.2985 21.14588
mrca.date-backward(ilex_semecarpifolia) 34.33620 0.021219 0.613921 34.15    34.15    35.50614 135021.0 837.1286 34.33100
mrca.date-backward(ilex_westbound)      32.81385 0.081765 2.266564 31.92098 31       37.45816 147091.4 768.4332 32.74013
mrca.date-backward(not_cyclobalanopsis) 56.66608 0.019517 1.162279 56.55062 54.82025 58.71119 31872.39 3546.329 56.65422
freqParameter.1                         0.309684 1.72E-5  0.0007   0.309678 0.308323 0.311051 68339.11 1653.957 0.309683
freqParameter.2                         0.188232 1.41E-5  0.000585 0.188217 0.187086 0.189365 65537.88 1724.651 0.188231
freqParameter.3                         0.190831 1.4E-5   0.00058  0.190821 0.18968  0.191926 65614.30 1722.642 0.19083 
freqParameter.4                         0.311253 1.75E-5  0.000682 0.311261 0.309964 0.312609 74068.23 1526.025 0.311252
