item                                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean
posterior                               -722251. 0.291739 12.14878 -722251. -722275. -722228. 106687.4 1734.111 NaN
likelihood                              -721946. 0.049161 5.667984 -721945. -721957. -721935. 13917.80 13292.89 NaN
prior                                   -305.332 0.356379 10.80211 -304.757 -326.776 -284.968 201371.2 918.7408 NaN
treeLikelihood.cerris                   -721946. 0.049161 5.667984 -721945. -721957. -721935. 13917.80 13292.89 NaN
TreeHeight                              57.05277 0.081844 1.874784 57.41038 53.44756 59.89409 352581.4 524.7241 57.02113
rateAC                                  0.299636 0.000114 0.009071 0.299606 0.282247 0.317922 29409.50 6290.754 0.299499
rateAG                                  0.938813 0.000336 0.021761 0.93856  0.896199 0.981275 44221.44 4183.671 0.938561
rateAT                                  0.27029  8.95E-5  0.007306 0.270263 0.256382 0.285158 27746.57 6667.778 0.270192
rateCG                                  0.343602 0.000131 0.011841 0.343596 0.320585 0.367138 22565.10 8198.853 0.343398
rateGT                                  0.307628 0.000115 0.009384 0.307512 0.2894   0.326201 27956.23 6617.773 0.307485
mutationRate                            1        0        0        1        1        1        NaN      NaN      1
gammaShape                              0.750596 0.008973 0.096356 0.747529 0.570099 0.940767 1604231. 115.3250 0.744475
proportionInvariant                     0.849206 0.000749 0.007636 0.850201 0.833773 0.862891 1781092. 103.8733 0.849172
FBD                                     -292.317 0.374067 10.83186 -291.738 -314.014 -272.036 220639.9 838.5064 NaN
diversificationRateFBD                  0.029654 0.000103 0.010181 0.029105 0.010384 0.049785 19029.20 9722.321 0.027739
turnoverFBD                             0.568247 0.000438 0.105731 0.560594 0.370565 0.77866  3176.085 58250.32 0.558477
samplingProportionFBD                   0.542257 0.000356 0.046414 0.553914 0.447335 0.6      10900.12 16973.02 0.540145
originFBD                               58.41998 0.048751 1.460678 58.83860 55.49711 59.99997 206087.1 897.7171 58.40118
SACountFBD                              34.25898 0.046642 2.327235 34       30       38       74313.77 2489.551 34.17788
mrca.date-backward(alnifolia)           20.48957 0.024551 1.420703 19.9     19.9     23.77485 55248.67 3348.641 20.44601
mrca.date-backward(cerris1)             11.96313 0.15358  1.956041 11.82653 8.215988 16.04577 1140523. 162.2131 11.80525
mrca.date-backward(castaneifolia)       3.316426 0.007553 0.65957  3.2      3.2      3.2      24260.80 7625.799 3.279819
mrca.date-backward(cerris_eastAsia)     35.29382 0.027523 0.952704 35       35       37.14834 154406.7 1198.185 35.28188
mrca.date-backward(cerris_aegilops)     13.89014 0.096434 1.749127 12.98694 12.7     17.65380 562347.8 328.9921 13.79341
mrca.date-backward(cerris_wEurasia)     31.62575 0.05617  1.758292 30.8     30.8     35.52293 188803.6 979.8961 31.58106
mrca.date-backward(cerris_all)          44.95242 0.142053 3.685125 43.1     43.1     54.00781 274907.7 672.9822 44.81475
mrca.date-backward(floribunda)          33.21838 0.005346 0.804568 33       33       34.88069 8167.246 22652.43 33.20933
mrca.date-backward(ilex_semecarpifolia) 35.57614 0.017148 0.633666 35.4     35.4     36.66163 135482.9 1365.544 35.57083
mrca.date-backward(ilex_clade)          21.80291 0.09842  2.164416 21.46352 19       25.81549 382542.6 483.6271 21.69993
mrca.date-backward(ilex_westbound)      33.44059 0.076326 2.514307 32.81327 31       38.43736 170488.4 1085.164 33.35069
mrca.date-backward(ilex_all)            50.88953 0.134731 3.041627 50.87517 45       55.92632 363006.9 509.6540 50.79851
mrca.date-backward(not_cyclobalanopsis) 55.76495 0.111545 2.160303 56.08846 51.56494 59.38926 493240.0 375.0871 55.72191
ucldMean                                0.000189 2.52E-5  0.000256 0.00016  0.000133 0.000194 1801205. 102.7134 0.000167
ucldStdev                               0.578107 0.023999 0.208014 0.545141 0.404127 0.731791 2462571. 75.12798 0.559869
rate.mean                               0.00015  2.58E-6  5.36E-5  0.000147 0.000131 0.000165 427884.6 432.3782 0.000148
rate.variance                           3.07E-7  2.89E-7  7.79E-6  8.38E-9  3.55E-9  1.92E-8  254496.5 726.9568 9.58E-9
rate.coefficientOfVariation             0.637901 0.041795 0.392048 0.581626 0.420148 0.805824 2102651. 87.98795 0.602831
freqParameter.1                         0.309708 1.23E-5  0.000695 0.309715 0.308337 0.311036 58055.38 3186.749 0.309707
freqParameter.2                         0.188226 1.02E-5  0.000587 0.188235 0.187067 0.189358 56220.69 3290.745 0.188225
freqParameter.3                         0.190844 1.04E-5  0.000588 0.190833 0.189617 0.191927 57592.18 3212.380 0.190843
freqParameter.4                         0.311222 1.16E-5  0.000688 0.311229 0.309832 0.312541 52776.42 3505.504 0.311222
