,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
0,-0.08697394789579159,-0.08621616408435093,0.0409345926175767,2.1247053490510686,142.375,169.5,16489
2,-0.09165302782324058,-0.09221389270925741,0.04397402399426565,2.08425382755948,138.75,166.75,15258
13,-0.08655964746616304,-0.08543161210617321,0.04205102400661825,2.0584432724525272,181.375,215.75,15305
1,-0.07891061452513966,-0.07648151608321725,0.03998653455665821,1.9734296907707434,164.875,193.125,16824
15,-0.27848101265822783,-0.2686036505832084,0.16192443599177672,1.7198207975995075,14.25,25.25,1197
14,-0.06266094420600858,-0.06328973508328872,0.038820763967102975,1.6141089922678484,204.75,232.125,16259
6,-0.05537459283387622,-0.055503661367406275,0.04050307408599497,1.3671701243294883,163.125,182.25,16738
3,0.08418367346938775,0.083921741889194,0.06227297022991375,1.3518493362140749,106.25,89.75,9579
11,-0.03590664272890485,-0.03474318005146634,0.03951848580303168,0.9086037078412111,201.375,216.375,16225
4,-0.03748661192431275,-0.03781771507017514,0.04178675628889065,0.8970931283862028,168.5,181.625,16440
8,-0.03440453686200378,-0.03402538128547124,0.03909771028121204,0.8799629598395302,159.625,171.0,15935
12,-0.031990521327014215,-0.03492178775676937,0.03948377322134876,0.810219457691471,204.25,217.75,16365
9,-0.036575875486381325,-0.03575935082972385,0.04593446244768185,0.7962621861100538,154.75,166.5,14564
10,-0.029585798816568046,-0.029510031166051325,0.04284143149062654,0.6905884744547168,174.25,184.875,16101
7,-0.02280130293159609,-0.02221225165515455,0.04109736633954907,0.5548117790130459,168.75,176.625,16494
5,-0.024425811155668976,-0.023470206962424845,0.045410877241206515,0.537884591524795,167.25,175.625,16686
