,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
68,0.38695878143365453,0.3866114034160921,0.015702756214172203,24.642729986753075,1806.8749999999995,798.6458333333336,29806
8,0.38342710399027174,0.3827735705751641,0.01597393526477562,24.003296472333464,1749.137499999999,779.5645833333335,30663
188,0.38095713358950045,0.3804745408651181,0.016017610455077533,23.78364330047359,1729.5625,775.3125,28296
218,0.3796511041645659,0.38005279819921006,0.016364087209829212,23.200261603135772,1710.25,769.0,28180
98,0.374478388542579,0.37406689526350023,0.01615705591271497,23.17739014865197,1667.5,758.875,28161
92,0.3376004259026232,0.337467638334965,0.01519086862110793,22.22390531595557,1727.34375,855.40625,29330
158,0.3743847874720358,0.37422369943210776,0.01695662053364895,22.078974211229266,1535.875,699.125,25764
38,0.359273234156072,0.3593641936972078,0.016547026174895153,21.71225393364971,1767.4375,833.125,29888
36,0.3244889553662396,0.3241446579178221,0.014985555608450035,21.65344841690536,1909.375,973.8125,30959
96,0.3245506439590508,0.3247822328133974,0.015239791018096166,21.296266042865682,1754.78125,894.84375,29028
182,0.3288897778614458,0.3281891578458672,0.015472488095417587,21.25642468316725,1764.765625,891.234375,29439
2,0.33661816304844744,0.33676156604551927,0.01584792369701318,21.240521438899222,1839.6265625000008,913.0317708333332,32190
62,0.33327629435090883,0.33313442762811357,0.015808415635278673,21.082207226836605,1866.739583333333,933.4895833333333,31146
6,0.3252484369086145,0.32524951552997244,0.015545326481955881,20.922586430471185,1882.023958333332,958.2343749999985,31901
66,0.3208074780365108,0.32072768226358417,0.015346754105978484,20.90393029178313,1909.0208333333326,981.6666666666667,30903
186,0.31120148628135125,0.3117589438714359,0.014933938911041613,20.83854019593318,1808.515625,950.046875,29210
126,0.31784575410416915,0.3178732268648532,0.015262799996516837,20.82486530497062,1743.46875,902.46875,29172
32,0.3181593604024434,0.3176755594890179,0.015310888653522538,20.77994083832915,1834.21875,948.78125,31261
128,0.3389795282136548,0.3388071420075238,0.01636597597823876,20.712454219924524,1610.625,795.125,28252
30,0.2815451939037272,0.2816786710880561,0.013820084398191842,20.37217615983324,1990.5,1115.90625,32559
152,0.32968464946572845,0.32985073532473363,0.016206463645254302,20.342787710030077,1594.375,803.75,26795
212,0.32782165968785687,0.3285026515885952,0.016305555973214127,20.104905360257835,1744.09375,882.90625,29303
156,0.32372669540156596,0.32377922350677124,0.01648045182094084,19.643071617139984,1621.9375,828.625,26596
216,0.3094458813027855,0.3096405508300264,0.016074449509990433,19.250791830255945,1787.84375,942.84375,29070
120,0.27240259017779656,0.2714423512309366,0.01415575582543194,19.243238830695542,1786.890625,1021.796875,30485
90,0.28286826235074913,0.28260934010133804,0.014896366873031235,18.989077320783572,1818.125,1016.34375,30374
0,0.27572491173195374,0.27616699911803405,0.0148164118851392,18.60942540403488,1986.6083333333345,1127.8692708333326,33712
60,0.26674812491295996,0.266506385946674,0.014763624092465283,18.067929882412592,1989.7578124999995,1151.7630208333333,32476
122,0.2931587254611818,0.2924622080351905,0.01626626805679809,18.02249443065481,1638.59375,895.65625,29397
11,0.3027261316806586,0.3026432198207,0.017148711631588327,17.652995640968737,1526.5833333333337,817.0916666666662,30061
150,0.2748254552316256,0.2750329769520989,0.015798764344738453,17.395376577229104,1688.984375,960.765625,27791
101,0.30568150013993844,0.3053179246375659,0.01764519556135149,17.323780803511003,1457.875,775.25,27668
210,0.25639953691793155,0.25675311330484485,0.015122334776614763,16.9550231961819,1831.359375,1083.890625,30363
71,0.2955681670493437,0.29624686901814434,0.017750250349768754,16.651492864898906,1557.5833333333337,846.8958333333331,29226
221,0.29260590221060656,0.2926319500559313,0.017801425721182408,16.437217265268067,1483.75,812.0,27659
191,0.29140200556801904,0.2905057688106769,0.017731149715718583,16.434467603062,1493.0625,819.25,27774
41,0.2821830192141341,0.2811643410526901,0.01720784760632687,16.398507568743394,1528.5625,855.75,29345
161,0.29664588898783023,0.2967026912182141,0.01826976278649019,16.236986350320258,1365.125,740.5,25361
99,0.2493330597168069,0.2497243614995696,0.01543100685802107,16.157925533368747,1522.0,914.5,28549
180,0.25740655430414133,0.2570766026658095,0.01594715593208752,16.141220127296155,1855.1953125,1095.6328125,30530
39,0.2431154249861424,0.24365836022430007,0.015752355141346503,15.43359217111715,1646.953125,1002.765625,30416
37,0.27304485907105996,0.2728119885265767,0.017939302059060427,15.220483950386235,1503.1875,858.375,26673
127,0.2807196198234895,0.28058234022550893,0.01894913465347038,14.814376748970853,1414.875,794.625,25306
9,0.2390553510912375,0.23902489788612463,0.01646218145368336,14.52148682504952,1629.6791666666672,1000.8395833333332,31300
131,0.24912802332894962,0.2502022677644812,0.017177335313356214,14.50329860739462,1365.375,820.75,27737
69,0.22574795308267867,0.22530940840280947,0.016002515600342045,14.107029089717209,1647.5520833333333,1040.6874999999998,30331
97,0.2580031147257311,0.25808783378682276,0.019031265345174398,13.556802979006903,1363.125,804.0,25195
159,0.23388686377750775,0.23417528453615413,0.017357341063226905,13.474809472576316,1428.03125,886.65625,26202
121,0.231980115990058,0.23287732508945455,0.017227575455779732,13.465627626215404,1440.53125,898.03125,26298
189,0.2163902319603403,0.21555657992261468,0.01611753610123591,13.425763752050615,1552.703125,1000.265625,28693
129,0.22427882756309453,0.22270642861394305,0.01681664476530364,13.336716728763284,1484.09375,940.34375,28644
7,0.2558884048869919,0.25537129728736885,0.019324304596046633,13.241791114146563,1445.7604166666663,856.6104166666669,27348
31,0.22306747248110598,0.22253065565574257,0.016918889383541382,13.184522188442521,1539.9375,978.21875,27869
219,0.2186774655538545,0.2192323461058699,0.01660872340440792,13.166422260714992,1542.3125,988.8125,28559
67,0.24100750905812957,0.24039982813071675,0.01909758084168237,12.619792582948868,1477.0833333333333,903.3749999999999,26640
157,0.24906881602247055,0.2491963651245431,0.01984900001753201,12.548179545693776,1278.5,768.625,23202
1,0.2079981856730938,0.2083652418292755,0.016804529597595486,12.37750717537822,1503.6223958333328,985.8223958333335,28693
91,0.20839445802770987,0.20846180624382693,0.016984930852634517,12.269373354286337,1390.03125,910.59375,26214
217,0.2257321487331359,0.22512858002572578,0.019252535846608274,11.724800853852363,1396.875,882.375,25267
187,0.22544770627197644,0.22607201835681162,0.0201929854196121,11.164654536570612,1404.9375,888.0,25373
151,0.2040111833846856,0.20389657326910587,0.018829898440294708,10.834428238238157,1318.84375,871.90625,24118
61,0.1978360663736425,0.19611381277559037,0.018265991132268133,10.830842133945387,1534.3593750000002,1027.526041666667,27831
95,0.16795725761131855,0.16867322576957575,0.016193581657135393,10.371841212614715,1472.161458333333,1048.7552083333344,29636
74,0.1738090981285679,0.1737272628184803,0.01677008358875204,10.364235646693164,1470.3854166666667,1034.9375000000002,30254
65,0.16243729279118602,0.16124081525170003,0.01582728737124907,10.263116412876926,1609.7647569444414,1159.872395833335,31574
104,0.17430233493284722,0.17445021904236477,0.017199591455721506,10.134097393043886,1368.90625,962.53125,28517
224,0.16812255372093626,0.16820315206968847,0.016639958693067208,10.103543934335729,1408.28125,1002.90625,28495
155,0.16818362384700347,0.168696184392374,0.017141939760892108,9.811236429070895,1393.7708333333333,992.4479166666682,27088
211,0.18481045413378186,0.18488368289328153,0.018852988874979614,9.802713795638502,1430.84375,984.46875,26255
107,0.161337018028688,0.1610872481916921,0.01655339997605915,9.74645802445579,1378.90625,995.78125,28949
185,0.15337359063227402,0.1530912092834538,0.0158006949723333,9.706762322848968,1520.0442708333321,1115.7786458333348,29768
119,0.1630586592178771,0.1631751367796495,0.016956311757735643,9.616398987444192,1249.125,898.875,27858
