,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
42,0.2807196198234895,0.2811020220841769,0.01864115673840838,15.059130919976262,1414.875,794.625,25306
12,0.27304485907105996,0.27226669991877117,0.018613248154691446,14.669382624775212,1503.1875,858.375,26673
2,0.2558884048869919,0.2568144922821682,0.018686035358277904,13.694098292157703,1445.7604166666663,856.6104166666669,27348
32,0.2580031147257311,0.25809582615999044,0.01906470591749371,13.533023579922537,1363.125,804.0,25195
40,0.231980115990058,0.23335146813298427,0.017283170381869075,13.422312623465018,1440.53125,898.03125,26298
10,0.22306747248110598,0.22316787963278037,0.016817707148882793,13.263845689923578,1539.9375,978.21875,27869
52,0.24906881602247055,0.24971305638656138,0.020231990490662672,12.310643193383225,1278.5,768.625,23202
62,0.22544770627197644,0.2245696934822073,0.0185099354151432,12.179821334629562,1404.9375,888.0,25373
0,0.2079981856730938,0.2072771276022524,0.017246921019902484,12.060018448108476,1503.6223958333328,985.8223958333335,28693
30,0.20839445802770987,0.2087038040463389,0.0173257766120566,12.028000977612344,1390.03125,910.59375,26214
22,0.24100750905812957,0.23963305248951436,0.020048822414289912,12.02103066593827,1477.0833333333333,903.3749999999999,26640
20,0.1978360663736425,0.19810070584567538,0.017209316769945637,11.495869883640212,1534.3593750000002,1027.526041666667,27831
72,0.2257321487331359,0.22615198273945186,0.019872769089347153,11.358867388749571,1396.875,882.375,25267
50,0.2040111833846856,0.20220473717371276,0.01954933274889583,10.43571082477014,1318.84375,871.90625,24118
70,0.18481045413378186,0.18494611366929967,0.01818182339121633,10.164572065036344,1430.84375,984.46875,26255
43,0.18741633199464525,0.18810816719406137,0.018896271346692715,9.91816472975487,1219.625,834.625,24913
60,0.18404907975460122,0.1843148732594253,0.01882920742868931,9.77465888841253,1441.46875,993.34375,26378
13,0.1833309465845625,0.1840340969144154,0.01953357184340209,9.385428740544793,1291.125,891.0625,26285
33,0.17226341037941562,0.17116624660535182,0.01884805627355607,9.139584892958016,1176.0,830.375,24855
3,0.1735357557819077,0.17479151587175723,0.01981034074856974,8.75985718693085,1253.0562500000003,882.466666666666,26934
23,0.16531074080308222,0.16584344527288722,0.018897531126258173,8.747742744732538,1298.0833333333335,929.7916666666667,26249
53,0.17265579309896678,0.1725204171690604,0.021074228676091683,8.192745544933825,1127.875,795.75,22923
73,0.15113676522558606,0.1519139105552638,0.02005446229560708,7.536316007769129,1221.5,900.75,24893
63,0.14845167710589474,0.14721426455771242,0.02016346545676324,7.362408878782342,1226.1875,909.1875,24991
17,0.10753748342569612,0.10863731580430656,0.021464567266722846,5.010000066128268,1018.0,820.3125,22736
47,0.10802535070853807,0.1089340491221375,0.023014882164870423,4.693717305814686,972.5,782.875,21648
44,0.08609607577807848,0.0857744821984051,0.01958914162545855,4.395091802602816,1203.9375,1013.0625,25648
7,0.09869879599233519,0.09824482395275089,0.022542873635698967,4.378270383241445,951.4125,780.477083333333,23311
34,0.0822830177408757,0.08264537977200072,0.018844240624378873,4.366480951979875,1132.40625,960.21875,25590
36,0.09020807019876355,0.0904593727800526,0.02075088624851728,4.347191205156802,1025.0,855.375,23905
46,0.09395255175885721,0.09475214074586688,0.021766935109679874,4.316296772395669,1086.5,899.875,23970
37,0.09646810753821825,0.09647180529059617,0.022638498052330657,4.261241506182286,910.0,749.875,21623
16,0.0874572236274364,0.08709568960376286,0.020686304688870404,4.227783789459986,1142.0,958.3125,25283
41,0.07813283291409916,0.07783581521064195,0.01848722792882099,4.2263141459024585,1265.744791666668,1082.2864583333337,26555
48,0.08485157344884699,0.08511627055116394,0.02068461152627737,4.1021593923121555,1064.375,897.875,24088
14,0.07957742740351437,0.07895009000850217,0.019992777153296015,3.980308828200749,1271.0,1083.625,27157
18,0.08020095635857394,0.08132695521391171,0.02062863991620715,3.8878450874293002,1115.375,949.75,25344
4,0.07480732576832205,0.07417592523464006,0.019291532667308563,3.8777284862954704,1207.9921874999982,1039.838020833333,27958
31,0.06965861214663317,0.06971799976188063,0.018024102602516537,3.8647478702716325,1194.0677083333344,1038.5468750000016,26490
11,0.06915312211474706,0.06927237015580581,0.01792211287580463,3.8585362448032434,1347.9765625,1173.6015625000018,28227
45,0.07328046791519037,0.07344551385151027,0.01902216164623114,3.8523733147704284,1192.75,1029.875,25990
6,0.07976756471209742,0.07843263213139832,0.021553410006271184,3.7009255003680734,1077.3583333333345,918.1791666666658,25968
26,0.0729084868619752,0.07238106837352708,0.02002308176254881,3.641222051959219,1110.1249999999998,959.2500000000003,25286
38,0.07232683478608025,0.07278432646567455,0.01993940094065918,3.627332385828899,1007.25,871.375,24012
35,0.06769928443122589,0.06703056031286751,0.018941993818217425,3.574031597778067,1133.0625,989.375,25919
15,0.06719247486557542,0.06814737609908236,0.01925185189900735,3.4901824104017725,1262.171875,1103.234375,27510
54,0.06882817848030369,0.06991330027117218,0.0198228482604972,3.472163917910015,1073.4375,935.1875,23681
24,0.06694893067680165,0.06646941926390446,0.01955787057837506,3.423119628924552,1231.114583333334,1076.614583333333,27150
49,0.07179612839990199,0.07225114305273286,0.021180573913911618,3.3897159109907573,1093.5,947.0,25036
39,0.06836063459306076,0.06747682903688518,0.020218108430891515,3.3811587679790875,1035.375,902.875,25003
27,0.07397929510294288,0.07399777996972566,0.022529482081289545,3.2836660352872364,961.7708333333335,829.2708333333334,22769
19,0.06556948038731063,0.06504239933432784,0.020206886503006075,3.2449076396582024,1145.1875,1004.25,26420
56,0.07312727023507641,0.07281270944071472,0.022555628848925417,3.242085189682499,978.625,845.25,22201
57,0.07899447427815394,0.07731354649290749,0.024381870777327418,3.23988569210245,866.5,739.625,20215
76,0.06677463560483368,0.06625871316260935,0.02175875870556477,3.068862360597628,1070.375,936.375,23936
1,0.053780864623142695,0.053560790762679354,0.01754794057772106,3.0647963722548224,1293.5220486111114,1161.4894097222248,29149
8,0.06259912461514777,0.062008524127808086,0.02043210544471305,3.0637628013683598,1057.3270833333333,932.7499999999992,25956
66,0.06543561779650514,0.06513787669023943,0.021693735413361063,3.0163370461411487,1074.625,942.625,24045
74,0.05904664855072464,0.059406860146476254,0.019618170510868102,3.0097938295527555,1169.1875,1038.8125,25609
64,0.057244602088787545,0.05681402421867689,0.019901816942489266,2.876350549008092,1173.640625,1046.546875,25733
67,0.06413146222642332,0.06443175580193582,0.022307866972699028,2.87483614210669,914.6875,804.4375,21712
