,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
20,0.515815322747046,0.515696493561815,0.010872923149557914,47.44035395559829,3099.2291666666706,989.9618055555562,39188
200,0.4801709666429195,0.4802006329850209,0.010455029003593509,45.92727255733862,3111.3463541666647,1092.6901041666688,40629
320,0.5116670412251894,0.5116986638800769,0.011190454430354718,45.723526636886575,2872.7499999999977,928.0208333333347,36865
2,0.48037381791027417,0.4803108601653165,0.010580745777851808,45.40075227171781,3118.2031249999995,1094.5208333333333,41319
222,0.5077548884342737,0.5082227565352223,0.011212847814424462,45.28331221806884,2971.078125,969.984375,38274
220,0.5107022681954144,0.5101973837719573,0.011298865194481363,45.19943015559241,3030.4687499999995,981.5312500000007,38420
22,0.5130038184683031,0.513156475126122,0.011460809165366775,44.761570589495605,3035.723958333336,977.1197916666657,39025
300,0.48215307658068024,0.48258581494962144,0.010831383925197242,44.51444800687371,2913.604166666662,1017.9791666666679,38809
302,0.48030406061783565,0.48030030031100707,0.01079334196422744,44.50003179828043,2857.171875,1003.078125,38643
0,0.48091205915849855,0.48050802433768236,0.010808526871371611,44.493765420733084,3187.5295138888887,1117.289930555557,41533
24,0.5347536748475288,0.5348886513601857,0.012045444757404376,44.39468077912307,2933.2500000000027,889.1874999999995,37682
202,0.47938312550754775,0.47985553301492784,0.010898643773945916,43.98557613687234,3045.703125,1071.828125,40436
120,0.5206382418354213,0.5208606757417056,0.011851647244986219,43.929610042660926,2165.1354166666665,682.5312499999993,28863
3,0.48035882804178776,0.479782733731915,0.01101079136476765,43.62618563265496,2794.1927083333344,980.8281249999995,39595
224,0.5311685075990367,0.5308082836649353,0.012290069696383275,43.219324277334984,2880.75,882.0625,36992
322,0.5078590060865494,0.5079635933351742,0.011762347788662664,43.17666976112183,2818.0,919.75,36734
204,0.4951573169850988,0.49557218280974835,0.011548768684053867,42.875334205004435,2911.375,983.03125,38947
203,0.47778850594013683,0.47793677773311405,0.011152519801089162,42.84130532487158,2750.1875,971.84375,38816
324,0.5299884457827106,0.5302820207667311,0.012635778871746332,41.94347267090655,2731.125,839.0,35562
400,0.49194232976346464,0.49144641382856324,0.011815318674163628,41.63597642433354,2288.4375000000027,779.291666666665,30696
402,0.4874949387983929,0.4867192203385326,0.011747264843015586,41.49859097526317,2238.703125,771.328125,30555
420,0.5211362317199204,0.5211418770230964,0.012644442026547072,41.21464835109308,2238.510416666673,704.6979166666658,29339
23,0.5053049174278068,0.5057475705270672,0.012283099466458926,41.13822564146998,2719.3333333333335,893.6666666666662,37590
223,0.5015661364551071,0.5023626565466204,0.012273732357927024,40.8650051857428,2681.5625,890.125,36921
303,0.4799358231571441,0.48025051255147533,0.011833600286240878,40.55704194396133,2594.28125,911.65625,37248
4,0.4947269683146473,0.4945713479926429,0.012262771705314087,40.34381298155105,2971.229166666667,1004.3854166666663,39752
422,0.5143801010493587,0.5144678463456266,0.012893618614843543,39.89416132234499,2191.78125,702.84375,29233
122,0.5162806236080179,0.5158238066067772,0.01303024862993351,39.621701647503585,2127.53125,678.71875,28750
304,0.4955684336117266,0.495128811125939,0.012510926367210917,39.61085047311365,2742.03125,924.84375,37298
