,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
30,0.14625391471934474,0.1462274723718635,0.017465501826050524,8.373874176417933,1486.90625,1107.46875,31935
3,0.14513229009384893,0.14508834332223702,0.017994329206023264,8.065445976461774,1341.4437500000004,1001.418750000001,32777
0,0.13663887626498236,0.13530525930814924,0.017278984460523006,7.9078071154678575,1551.4463541666682,1178.438020833333,35336
33,0.15300306882946077,0.1539142764062831,0.01940907381431234,7.883069037361052,1315.0,966.0,29940
62,0.1338843831782966,0.133709986498028,0.01851188000023464,7.232349344129261,1367.5,1044.5625,30668
70,0.12507401179451957,0.12334782593453346,0.01766716379989995,7.079461831628451,1484.5,1154.4375,31978
72,0.13208725985317854,0.13161099326001424,0.019077821967351617,6.923602708905816,1359.0,1041.875,30554
73,0.12746799739639836,0.12754274739202492,0.018578286306509123,6.861127839963282,1299.125,1005.375,29984
13,0.1232681336593317,0.12337291405844512,0.017977021814057897,6.856983038366063,1378.25,1075.75,31902
10,0.11340950223732277,0.11371065422797051,0.016712060628634874,6.786087290935506,1566.828125,1247.640625,34208
63,0.12883899174178226,0.12815380920578062,0.01900964920812524,6.777557562015031,1307.125,1008.75,30100
60,0.1268524076885954,0.12549975817673678,0.01876232141100408,6.761018794518498,1495.84375,1159.0625,32115
23,0.11988999489756211,0.119657591653682,0.01820103292934474,6.586988516693943,1348.895833333333,1060.0833333333335,31709
32,0.13302677846902894,0.13306024814817385,0.020199317039377957,6.5857067449209925,1309.0,1001.625,30486
2,0.1229195731026787,0.1232218893757642,0.018848942669332767,6.521298051517174,1341.5145833333347,1047.8187499999985,33394
22,0.12512072907981747,0.12485611806104001,0.019239470399497968,6.50333540797892,1419.7500000000005,1103.9791666666665,32300
50,0.11949586035964774,0.11879063202429667,0.018519330150735484,6.45249365862739,1326.8125,1043.5625,28412
20,0.118130764653377,0.11791839131189999,0.018470523645822922,6.3956370116280965,1565.848958333334,1234.9843749999995,33991
52,0.1218802722671476,0.12199649022228336,0.019854092065853955,6.138798584336339,1205.25,943.375,27209
53,0.12264770894318656,0.12301004451000275,0.020064603451528943,6.112640563242264,1174.5,917.875,26786
61,0.08996894665184879,0.08973860690039323,0.015017695576007257,5.9908623261471625,1588.6354166666633,1326.375000000001,32546
31,0.0910954550070902,0.09212371549283822,0.01606449118869047,5.6706094165759895,1510.786458333331,1258.515624999999,32340
34,0.10014241810958699,0.09996786794295486,0.017879145181438075,5.601074161730825,1375.96875,1125.46875,30710
21,0.08199994767691161,0.08240720918717169,0.014960894289573626,5.48095228064395,1651.4644097222197,1401.1501736111106,34544
27,0.10566117320960494,0.10656309960023622,0.01932984647053218,5.466218956818022,1146.8124999999998,927.6250000000002,26620
64,0.09369546895217293,0.09469438051773596,0.017173147026270343,5.4559288876315915,1439.59375,1192.9375,30899
71,0.08701577495783877,0.08699092197046066,0.01598111124166216,5.44491391380794,1574.4687499999964,1322.3958333333342,32400
39,0.09520095668902408,0.0951289757279841,0.017846342103885443,5.33448009316695,1316.5,1087.625,30229
54,0.0933721816795556,0.09408886691799014,0.01767618583972278,5.2823715775676625,1254.78125,1040.46875,27689
74,0.09236429663608563,0.09247355777228568,0.017586291645273876,5.252062145853673,1428.8125,1187.1875,30766
24,0.08912784572397045,0.08921926259310028,0.01706936730540521,5.221508456013311,1486.0468749999993,1242.8281249999993,32689
67,0.10631395058647367,0.10647453771223771,0.020553818650375436,5.172467092120215,1108.25,895.25,25359
12,0.0940713853599516,0.09411470570742496,0.018774556383314222,5.01057832948623,1356.375,1123.125,32475
51,0.085415701330509,0.08425347624540741,0.017079277466444137,5.001130843990694,1366.4479166666652,1151.3854166666663,28813
43,0.09512912716574044,0.09440659937402485,0.0190715254795822,4.988018775298537,1256.25,1038.0,30020
1,0.0774228310983383,0.07754602904188537,0.01569944145281861,4.93156596245901,1619.1173611111064,1386.420138888888,36013
77,0.10372557642771879,0.10372421578469936,0.021076092799968145,4.92148034325772,1098.0,891.625,25262
57,0.1036526533425224,0.10372612761564265,0.02127957439289431,4.870992785322537,1000.875,812.875,23109
4,0.08348069184032404,0.08332692358436554,0.017356510164593695,4.809762506901875,1434.7947916666674,1213.6968749999978,33892
69,0.08214099086769354,0.08154408672469668,0.01726121845651632,4.758701772683047,1359.0,1152.6875,30441
40,0.08369958478012772,0.08335557404938176,0.017599755332875926,4.7557243380411585,1394.6875,1179.25,31984
79,0.08131098323742807,0.08019980068269304,0.017437531997305605,4.662986898030753,1350.625,1147.5,30332
65,0.07534200493384167,0.07594576316856187,0.01690605454608139,4.456510224102229,1498.421875,1288.453125,31759
75,0.07360926480859789,0.07280841166447384,0.01680432090635974,4.380377238614852,1489.0625,1284.875,31629
29,0.07700321347576268,0.07728846206264058,0.017579333735298554,4.380326048486326,1399.9583333333337,1199.770833333333,32042
76,0.07990288643107635,0.07974629476637979,0.018323612316926325,4.360651439741854,1251.0,1065.875,28434
36,0.08716110239749048,0.08665595571940864,0.020183202464876187,4.318497153718423,1213.0,1018.5,28412
9,0.07893667585994166,0.07861044007544869,0.018297552669862223,4.31405649073265,1355.3625000000004,1157.0416666666665,33089
68,0.07842633067626639,0.0781515774029305,0.0182326982716944,4.301411097117776,1310.625,1120.0,28951
35,0.07491143016968115,0.07468625914730131,0.01748293767093344,4.284830820750819,1441.1875,1240.3125,31553
26,0.07253321339606969,0.07231351460526458,0.017300306009359594,4.192597134225758,1291.6874999999998,1116.979166666666,30109
25,0.06758561275037683,0.06719138604668164,0.016201282471995336,4.171621158213967,1548.9999999999998,1352.8749999999995,33559
66,0.08013619668087617,0.07855039466737809,0.01922080817122763,4.16924179082309,1259.0,1072.1875,28549
37,0.09161562273595468,0.0922193990854781,0.022040388439539944,4.156715431185341,1035.875,862.0,25204
78,0.07504651643580731,0.07560226087797077,0.018317889881693823,4.096897454919513,1300.0,1118.5,28842
7,0.08352323895129816,0.08347251229874435,0.020673670619121825,4.040077859905754,1067.816666666666,903.1916666666657,27367
59,0.07548240635641316,0.0748707537410525,0.01922557606922208,3.926145364104421,1184.375,1018.125,27099
55,0.07039204062169756,0.07084786229477943,0.01868812346310235,3.766672494468421,1297.75,1127.0625,28147
58,0.07484907098059902,0.07471799103986619,0.02000283852579236,3.741922471857482,1146.125,986.5,25853
5,0.0623407223254008,0.06213980984358718,0.017408687459571304,3.5810122084261926,1508.0734375000004,1331.0786458333328,34798
28,0.06659794328658479,0.06686141194800889,0.018833107076235426,3.5362164626898696,1336.4583333333337,1169.5624999999998,30408
38,0.06861906797776827,0.06895947395538522,0.0196955897594916,3.4839813793694456,1249.75,1089.25,28812
6,0.0678926495794026,0.0678875531122447,0.019760037374341986,3.4358563343387116,1238.947916666666,1081.4124999999995,31126
11,0.05435516427762849,0.05343362201546037,0.015860130262016936,3.427157493643191,1610.5494791666665,1444.4921875000007,34738
56,0.06962565540787709,0.06864348208934477,0.020621693247110703,3.376330671470555,1096.5,953.75,25757
19,0.06020917290347342,0.059414637246364047,0.017982397567250948,3.348228325967207,1381.1875,1224.3125,32165
14,0.0577098436146446,0.05772235781319959,0.018110869848502454,3.186475530849033,1449.921875,1291.703125,32814
42,0.06174320933784226,0.06235429332171451,0.019633147494735277,3.144845183605889,1216.625,1075.125,30552
84,0.2009685230024213,0.1989951685673871,0.06440141709466222,3.1205605725573102,108.5,72.1875,2004
86,0.20968962906888722,0.20964208489183414,0.07054051737770346,2.9726125759203206,99.875,65.25,1868
8,0.05356680562734864,0.05402329734882815,0.019012333212480602,2.8174766888781875,1276.0000000000011,1146.2479166666665,31371
87,0.2200172562553926,0.22181743394372277,0.07809032676734873,2.8174713228039225,88.375,56.5,1700
81,0.1606114542979791,0.1585026281490416,0.059760172776495285,2.68760023333049,115.46875,83.51041666666666,2070
80,0.1985663082437276,0.20032795411247756,0.07421194836276464,2.675664938388236,104.5,69.875,2043
82,0.1983673469387755,0.2023697858111566,0.07696719564845936,2.57729731826011,91.75,61.375,1949
15,0.04222329524116101,0.0417453023056018,0.01670501024089599,2.52758272112836,1517.65625,1394.6875,33717
16,0.04644169729368527,0.04554651648384735,0.018585719781340226,2.498783896457538,1272.375,1159.4375,30238
83,0.19035314384151594,0.1899307430689096,0.07797939763461355,2.4410696878353657,86.375,58.75,1937
17,0.046242069302098586,0.04577125522564055,0.021009170008826687,2.2010421774239854,1071.875,977.125,26632
44,0.03898861700288896,0.038993572300710905,0.018402524498492254,2.118655894525958,1314.9375,1216.25,30760
88,0.14400643604183427,0.14255740064890848,0.07038105356076862,2.046096623397315,88.875,66.5,1858
18,0.03572858286629303,0.03640040181409777,0.018103865733450925,1.9735333542756295,1293.625,1204.375,30545
41,0.03152775135856903,0.03065290283145007,0.016771141437464773,1.8798810728612492,1440.447916666667,1352.3958333333344,32364
49,0.03370901116834107,0.03397922351779993,0.018546393625712785,1.8175507243417273,1266.875,1184.25,30232
47,0.03407770749967729,0.03427250984676081,0.020532707641808392,1.659679185724574,1001.375,935.375,25244
85,0.09294199860237597,0.0917096807730462,0.06738586350178367,1.37925068809003,97.75,81.125,2017
45,0.020620471855842468,0.02122056491005418,0.017401961875844245,1.1849509844327295,1373.5,1318.0,31555
89,0.08116627265563436,0.08128499988440317,0.07484264069429152,1.0844923682900618,85.75,72.875,1931
46,0.019672673169118863,0.020792140497019284,0.01978735953429095,0.9942040591634604,1156.5,1111.875,28452
48,0.01796342967451338,0.017325694330481613,0.01858303576595925,0.9666574342723444,1186.5,1144.625,28797
