,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
0,0.3180224169823216,0.31783290610491605,0.01346166781415233,23.624295397334254,2159.1499999999983,1117.1979166666647,31023
112,0.3143303054176543,0.31470438665911976,0.014100851146556495,22.29158383069773,2104.490624999999,1097.886458333333,30433
114,0.334028083234647,0.33370538935027066,0.015181880801529756,22.001759044306926,2053.500000000001,1025.1458333333335,29531
2,0.338177931904022,0.3377719077507096,0.01560961295570118,21.664722428656216,2104.263888888891,1040.7048611111106,30083
3,0.3346136501469506,0.3340454336586159,0.015635935579756784,21.4002960321838,1788.0208333333328,891.4375000000008,28290
1,0.3044768328365183,0.30424811161408194,0.014495437547974437,21.005011530615388,1978.375,1054.8333333333353,30155
117,0.34731161501138724,0.34753536139195074,0.016701288398257002,20.79549833099306,1700.8125,823.9375,25584
7,0.3398486525022835,0.33968827110225225,0.016354312033643154,20.7803698378242,1879.374999999997,925.9791666666673,28342
5,0.35108328929718263,0.3507521893801556,0.016956390209292394,20.7050725398371,1731.1458333333308,831.4583333333342,26000
224,0.3088491468698017,0.30854465153057103,0.014929466917045438,20.687218678731185,1660.0229166666659,876.5916666666668,24412
170,0.3220836072323795,0.3220168299695764,0.015595253388140634,20.652669066429343,1906.4583333333337,977.5625,28419
115,0.3317765826964808,0.331331818396288,0.01610341025985498,20.602877113774074,1764.4375,885.3125,27866
226,0.332484699296926,0.3328043063847863,0.016166916730136118,20.565745766300278,1646.479166666666,824.8124999999999,23843
168,0.30284353871853176,0.30329959961448333,0.014819644844691714,20.43527641129727,1954.6968750000021,1045.9656250000012,29214
6,0.33516608719301955,0.3358951164049173,0.016459668973289307,20.362869249492558,1892.0833333333312,942.1458333333342,28456
118,0.3278640558181409,0.32796151167845705,0.01620550422093729,20.231647923336137,1843.65625,933.21875,27988
113,0.30198195935622946,0.3020563172418614,0.015093699970325388,20.007152649776657,1944.0625,1042.25,29641
119,0.33165086510697317,0.331490552046484,0.016583752884781578,19.998541187340013,1830.3125,918.625,27883
169,0.28939662821650397,0.28937636796311617,0.01449726873261491,19.962148288348985,1816.4375,1001.0625,28526
171,0.32097961636700556,0.32106118045050275,0.01632039024362333,19.667398363370513,1648.5,847.375,26888
58,0.32946951429555615,0.32882162485923594,0.01690952243768686,19.48425897358613,1608.104166666667,811.0625000000001,23497
175,0.3206929740134745,0.3209407472254848,0.016497030884743937,19.439435875097,1715.25,882.25,26942
56,0.30916508205098014,0.30831009534389786,0.01603818311772409,19.2768145731742,1627.9604166666663,859.0604166666666,24024
173,0.3337925918075354,0.33406865444039385,0.017500350291141425,19.073480602071108,1573.125,785.75,24693
4,0.29266422424810384,0.29282536800080444,0.015751099689426618,18.58055818442716,1738.458333333334,951.2708333333343,28388
116,0.29155172007262264,0.2916232915023461,0.01581442132311049,18.435813370329395,1711.75,938.9375,27934
230,0.32883679787704556,0.32946356446537817,0.01784655679006458,18.42578384980757,1502.25,758.75,22720
174,0.3166805572091916,0.3161700652402654,0.017224309179916145,18.385675378983954,1727.9375,896.75,27032
57,0.29404138080060505,0.2937631744241006,0.016177721166064807,18.1756984053725,1497.125,816.75,23490
63,0.3347501435956347,0.33528569118582435,0.018438211764880565,18.15523912320155,1452.375,723.875,22351
229,0.3394088374602794,0.33850337905755545,0.018746458001991102,18.105224860303213,1396.25,688.625,21140
231,0.3287999554093975,0.32856388399828407,0.01828067677106067,17.986202563895564,1490.0,752.625,22642
227,0.31607360538689266,0.3161484419763722,0.01766744413828965,17.89017148789984,1417.0,736.375,22665
61,0.3398804440649018,0.3401310957863987,0.018998851808527954,17.889525508712097,1372.875,676.375,20813
62,0.32790651501829426,0.32821987794245755,0.01877648348627729,17.46368084620016,1463.0625,740.5,22425
59,0.322924829706432,0.3228849488921304,0.018540869942354488,17.416918985486614,1371.625,702.0,22272
172,0.2765662859120803,0.27638293834230426,0.0161724044461733,17.101123511508593,1613.5,914.375,26975
225,0.2915796071876306,0.2918939239280229,0.017184789157594412,16.967307804226035,1545.375,847.625,23891
