,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
1554,0.43857936161132866,0.43925563006956164,0.010684451587666172,41.048373705732565,3525.340625000003,1375.801041666664,37117
1536,0.40242317717742404,0.4028509410258925,0.00995123091123189,40.43953765792045,3618.7791666666612,1541.9729166666623,39063
1042,0.4372450269538669,0.43699045183210145,0.010933516308460567,39.99125392217307,3754.2307291666725,1469.973437499999,38680
18,0.4440664911809987,0.44389567015109954,0.011191166663711333,39.680089174342854,3861.8065972222303,1486.7097222222196,39458
21,0.4658815080789947,0.46580391933204485,0.011749619103069642,39.650775398947275,3189.4374999999995,1162.1249999999989,35501
19,0.44673187754454485,0.4462813119996747,0.011428223496919932,39.09022934885246,3562.7656249999973,1362.4947916666688,38213
1043,0.4393458580745644,0.4390730442220519,0.011363100850980757,38.66425756809543,3465.5625,1349.90625,37518
20,0.4507305551836898,0.4508209548429253,0.011694987511776346,38.54049050756349,3687.5052083333258,1396.1475694444434,37968
1045,0.4617529822307232,0.46177932684312445,0.01204230892136328,38.344223291894195,3128.5625,1152.0,34919
0,0.4015696496365031,0.4020161147719912,0.010623092415024581,37.80157735129464,4008.70928819445,1711.6047743055522,41798
23,0.48246244931569643,0.48243791409336967,0.012780949739818684,37.74856009429397,2962.979166666668,1034.395833333334,31608
1,0.4015561208983161,0.4019734418797815,0.010697308365274093,37.538052301255426,3662.7369791666647,1563.9348958333337,40285
1555,0.4370364254358805,0.436882067066865,0.01165101417581035,37.51059082420898,3263.375,1278.4375,36100
1556,0.44731547366777447,0.44729121732775345,0.011925548080458885,37.50900760701659,3379.406249999999,1290.4895833333326,35842
1557,0.45578441045880613,0.455114175448554,0.01238853856584068,36.79081338258536,2950.875,1103.125,33693
1047,0.4773554451371966,0.4773398199629394,0.012993666789042426,36.73754705944522,2917.5,1032.125,31097
1024,0.39487734497161936,0.3951304759436079,0.010854254278355062,36.379960782663936,3892.042708333331,1688.4374999999973,40889
2,0.4132299685561686,0.41381314882431997,0.011394631263726175,36.265321710905255,3801.1727430555557,1578.2387152777774,39989
3,0.41678405480876957,0.41607613818565303,0.011522795989691048,36.1703926010361,3263.510416666664,1343.4166666666665,37184
1044,0.4448687659120554,0.4445865156637712,0.012313217083473074,36.12936918891512,3612.036458333332,1387.7760416666663,37261
1537,0.3970795826849718,0.397235016574954,0.011005572308751984,36.07986677523361,3324.765625,1434.828125,37853
1538,0.41185013564793727,0.41166018709879615,0.011537243566887258,35.69744655733693,3453.135416666667,1438.5104166666667,37538
25,0.4540099786433252,0.45379274333896097,0.01275795829625474,35.58641344490095,3311.9166666666697,1243.6458333333337,35644
1559,0.4753278356090307,0.47586133200783814,0.013401758135203863,35.46757304628824,2728.25,970.25,29999
1026,0.4073619801542157,0.40728457373313354,0.011502788285799722,35.41419437034298,3711.213541666667,1562.786458333334,39173
7,0.42067037401832097,0.4205820080938812,0.011974142368808342,35.131566091458275,3395.609375000006,1384.6822916666672,37340
1543,0.41876654992739387,0.41866360093822297,0.01194143569813573,35.06835865579972,3114.28125,1275.84375,35280
1025,0.39384572108225785,0.3941966146641155,0.011245238504110543,35.02333195852564,3561.4609375,1548.8046875,39484
1027,0.4134532488223407,0.41359618015759725,0.011831729380919592,34.9444477228405,3202.15625,1328.8125,36531
2066,0.42994022309163044,0.42949130548014036,0.012318274317128158,34.90263425079052,2762.1604166666675,1101.1625,29522
1560,0.45098587404355506,0.45112746441671847,0.012968019209707905,34.776774058596814,3081.53125,1165.96875,33952
1561,0.4515785109281526,0.45113463965453265,0.013009801615667236,34.71063773826749,3063.375,1157.375,33830
1539,0.41403436263801147,0.41410372279696583,0.011965721182405915,34.6017056829635,2993.6875,1240.5625,35136
1542,0.4176389526871842,0.4172004941895493,0.012101863918434997,34.51029985975854,3134.421875,1287.609375,35425
24,0.4516141493420472,0.45144450808671854,0.013099055851334324,34.476847374923125,3327.197916666669,1256.9375,35790
1046,0.4418134396155086,0.4426446395478528,0.012823479249147115,34.45347639525314,3074.9375,1190.4375,35094
22,0.44861414187818255,0.44850479390319803,0.013023474896484352,34.4465778483809,3153.270833333335,1200.2291666666658,35693
1540,0.39905111768817764,0.3987391637453397,0.011593162515138408,34.42124762480425,2939.625,1262.6875,35309
5,0.4365098379802939,0.4372033101590366,0.012745347757525222,34.248562399763934,2997.9062500000023,1175.968749999999,33010
1030,0.4096007192936642,0.40914535434187704,0.012040283819941223,34.01919135953256,3331.4921875,1395.3671875,36813
1031,0.4115717109334966,0.4116423749595942,0.012142104918595149,33.89624070067052,3314.171875,1381.546875,36645
1541,0.42935687016673735,0.4290587122829656,0.012668571563381154,33.891498186567844,2737.84375,1093.03125,31181
530,0.4452773048553427,0.4460253716245295,0.013139633413208906,33.888107137579496,2718.262500000005,1043.3166666666684,29052
533,0.4635211882918305,0.4633300675173176,0.013775809380175873,33.647474024928236,2303.125,844.25,26731
1029,0.431945265263445,0.4319327123421434,0.012863777164542546,33.578416334360185,2952.984375,1171.453125,32427
1048,0.44434601463066903,0.44375561880898945,0.013246536393207841,33.54431690222867,3260.859375,1254.484375,35169
4,0.40300269443302855,0.40265862347246434,0.012033170001659287,33.490983205377916,3200.1614583333326,1361.7135416666658,37389
1028,0.39563016738657125,0.3959787526644658,0.011840788685352236,33.41248441296731,3114.9375,1348.90625,36703
512,0.4057349946333335,0.4058838803870267,0.012146523376839734,33.4033848242506,2757.8536458333306,1165.8640624999991,30359
532,0.45181813479542743,0.4519776800017042,0.013548724944280164,33.34764980863904,2631.3749999999995,993.5625000000003,28319
1558,0.4407146389713155,0.44083834745690265,0.01322508868496932,33.324134867405455,2913.125,1130.875,33860
1049,0.4455814989627278,0.4458273151146773,0.013433193252831656,33.17018452547024,3244.5625,1244.375,35030
515,0.41928986591471484,0.4182528279473085,0.01268132727203572,33.063563215446194,2312.15625,946.03125,27698
6,0.4175371172235596,0.4173364340047833,0.012681694488912047,32.92439488970687,3411.8125000000055,1401.906250000001,37519
2067,0.42725880551301687,0.4267715158770975,0.012990983957300362,32.88887176809392,2592.125,1040.1875,28825
2069,0.4473284760170006,0.44712311713403025,0.013943492956425633,32.081521998464275,2383.75,910.25,27186
514,0.415499277889615,0.415060194396977,0.01317681511874303,31.532602844112038,2669.786458333332,1102.432291666666,29477
537,0.45806256611757595,0.45819749276288674,0.014563034036386611,31.453786688479834,2412.0,896.5,26857
2071,0.474427804464538,0.4739706258957834,0.015094276761468024,31.430972941720235,2282.875,813.75,24930
531,0.443703769717494,0.44318675868778307,0.014117554495937486,31.429223088543814,2531.21875,975.34375,28370
