,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
60,0.41325155182182177,0.4126430377792645,0.012335136927279966,33.50198333898417,2364.512152777777,981.6892361111112,37532
20,0.38702854494578,0.38740600510266643,0.011957140931726746,32.36798388140171,2543.394965277775,1124.0060763888862,40100
62,0.413102800464887,0.4132528152193434,0.012777047726426965,32.33163163431409,2311.4166666666674,959.9895833333335,37371
200,0.4091270877242137,0.4087220845264686,0.01281993541646873,31.91335014048833,2305.2291666666624,966.6250000000003,36772
63,0.41224207890874676,0.41208176598041896,0.013137840650591214,31.378221876225567,2044.7499999999998,850.9999999999994,35907
160,0.3839452740012192,0.3837715983335401,0.012436173058204006,30.873265610270256,2475.651041666664,1102.0208333333321,39231
270,0.4072543586741199,0.4078582208191966,0.013320436672806581,30.573649248715846,2153.260416666663,906.9687500000002,35196
202,0.409333972021546,0.4088804083731491,0.013440061984661765,30.45625626494068,2252.578125,944.078125,36622
230,0.3810557979018838,0.38099509416116273,0.012550759453498934,30.36117450212561,2305.1979166666633,1033.1145833333346,37454
273,0.4109429569266589,0.41029577345492924,0.013612625777415786,30.188368037593413,1893.75,790.625,33885
272,0.4067998246822366,0.4067201105242026,0.013586111858598567,29.9423285275526,2106.375,888.1875,35064
162,0.38098775096293264,0.3809554906293849,0.01284690724810423,29.655989850720967,2425.7265625,1087.3046875,39037
22,0.3838426065220919,0.3841327111188326,0.013035046024047696,29.446969793122335,2491.3203125000005,1109.2630208333323,39892
24,0.3864287794485064,0.3860741456786202,0.013155468740168541,29.374003091854533,2355.520833333335,1042.4479166666663,38522
340,0.4112546738324995,0.4120669819424151,0.014024310974521904,29.324412057007983,1725.979166666665,720.0416666666671,28526
203,0.40813414982111895,0.4073106678573895,0.013960456475485914,29.235014667162826,2004.875,842.6875,35240
300,0.39160899790343195,0.39138981107132065,0.013404539628475702,29.214654792882566,1839.1562500000014,804.0520833333346,30127
204,0.41533835825198734,0.4154803839087418,0.014252190359492763,29.142072044761075,2147.6875,887.1875,35471
