,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
191,0.11944828646073456,0.11899879443506844,0.033535469273058914,3.5618492613936565,303.51041666666686,238.73958333333366,18584
1023,0.12727272727272726,0.12719846965313428,0.03657818171803984,3.4794711299156287,275.125,213.0,17599
399,0.13497430348931566,0.13392821340866376,0.03906257558646589,3.455335483205581,262.25,199.875,17471
420,0.09383494053080815,0.09294686221865174,0.027355146417331944,3.430248155109683,658.1354166666664,545.2187500000001,20832
4,0.09049427564949354,0.0887617186008074,0.027082555494980686,3.341423067194128,687.9201388888886,573.7465277777779,21404
836,0.09861825075649858,0.09734832220617466,0.029846332410697243,3.3041999733659986,627.7916666666664,515.0833333333333,20279
607,0.11197097944377267,0.11051917391076041,0.034165081021388315,3.2773514973863414,287.375,229.5,18091
632,0.129073756432247,0.12960119234731618,0.039972187751001004,3.229089116569925,329.125,253.875,11526
647,0.1080827067669173,0.10932547365362098,0.033981021074034105,3.1806786067857877,442.125,355.875,14987
851,0.09445202929129949,0.09355021825330048,0.029941990896448233,3.154500634842673,551.125,456.0,19582
440,0.09273297235679681,0.09309326510267407,0.02968700615944018,3.1236889250049424,599.125,497.4375,20277
24,0.08581019778624581,0.0839330967574502,0.02754907519900339,3.1148122819509405,623.3229166666661,524.8020833333331,20773
1022,0.08692213282421937,0.08599124394211785,0.028049654402778162,3.0988664450571703,415.12499999999955,348.7291666666668,25150
430,0.08668912776084282,0.0869278811285365,0.028010628685301107,3.094865478914935,635.0,533.6875,20704
9,0.1000240963855423,0.09972847496139399,0.03246974147154308,3.0805325774830936,475.53125000000045,389.05208333333337,15551
435,0.08828392582969175,0.08970664836429426,0.02878325110346886,3.067197847537524,575.90625,482.46875,20070
19,0.08898169573151216,0.08761324579667883,0.029194026150292707,3.0479419067938323,602.9895833333331,504.4479166666667,20587
856,0.09189443920829406,0.09246185835234905,0.030519081950439494,3.011048607475256,579.25,481.75,19810
190,0.07930598763605554,0.07737829770152466,0.026496455640887814,2.9930791012543985,468.6024305555553,399.7378472222221,26797
629,0.10961150353178595,0.10821198475963453,0.03680167062397665,2.97843825221274,366.5416666666669,294.1250000000001,12067
846,0.08806482471442237,0.0858459259955243,0.029829130999068695,2.952309429234525,604.25,506.4375,20180
631,0.10907825395247092,0.11145917529293242,0.03703637581945481,2.9451654363862807,348.5625,280.0,11905
1026,0.09463614622480356,0.0941180735400275,0.03239481510509841,2.921336205123436,400.5,331.25,24582
14,0.08019417310651464,0.08026606369059543,0.027494889632527317,2.9166937630345102,661.7708333333336,563.5104166666664,21264
401,0.08943089430894309,0.08963662402215587,0.031108548973778773,2.874801212500265,343.375,287.0,24232
627,0.09259940638261355,0.0930236060551793,0.0323198960855298,2.865089854792942,463.9791666666668,385.3333333333332,15363
227,0.08765979650404383,0.08757774013066469,0.03074340441174495,2.8513366746902964,521.125,437.125,19404
212,0.08683708062190706,0.08643215125630754,0.030812271272374465,2.8182628879995315,581.0729166666658,488.21874999999994,20049
425,0.09583991574512901,0.0955333423366948,0.03409678445151326,2.8108197675184443,455.21875,375.59375,15203
1021,0.08135294857286558,0.0811792175913181,0.029047650836074156,2.8006722138037303,537.5,456.625,23808
193,0.07730594395534827,0.07604803551480183,0.027613019301304005,2.7996193792432384,390.05208333333337,334.07291666666646,25866
855,0.07673337759650953,0.07499713021519507,0.02743846621773422,2.796562205321618,709.5,608.375,23918
606,0.07565674708291874,0.0744816169741036,0.02712106853931224,2.7895931523956583,433.56250000000006,372.57291666666663,25853
1019,0.09096774193548388,0.09206062219109142,0.033160464024107966,2.7432590168023427,422.75,352.25,20092
648,0.10013505691684353,0.10078439328609244,0.03700702202752504,2.705839363198833,356.375,291.5,13006
398,0.07699538540420436,0.07615571590841212,0.028683271587993362,2.68433066179362,393.84374999999983,337.5312500000001,24986
834,0.06279091478947445,0.06099449733985211,0.02374093227159831,2.6448377877979254,830.0729166666673,731.9895833333338,25471
214,0.09250210614995788,0.09306094203118832,0.03538738640718056,2.613985251286826,405.25,336.625,14473
637,0.08719754288710765,0.0871555011095864,0.03343907564052849,2.607654105767905,453.53125,380.78125,15277
815,0.11613406079501169,0.1158085595904216,0.04482616741343523,2.59076489238748,179.0,141.75,11798
222,0.07741974053924792,0.07522259130971806,0.02998618674002794,2.581846808680809,563.1875,482.25,19940
353,0.10466045272969374,0.10524055865766202,0.04058981658319547,2.5784904081834172,259.25,210.125,12333
217,0.09581239530988275,0.09606339696586927,0.03720102062546686,2.5755313617468887,408.875,337.375,14656
6,0.08377630787733012,0.08423827715354688,0.032653059707732884,2.565649547919402,469.3541666666665,396.79166666666674,15356
845,0.06454263282819062,0.06504357426738135,0.025302775985972536,2.5508123244647956,728.8125,640.4375,24433
194,0.07568143749048269,0.07494326628985128,0.029813314089675434,2.538511393360717,441.50000000000006,379.37499999999983,25986
609,0.07142857142857142,0.07161620673996913,0.0282290501344576,2.530321462760896,359.0625,311.1875,25004
272,0.07684448616430786,0.076507947415391,0.03040368820166906,2.5274725110517795,420.9702380952382,360.88869047619056,18248
439,0.06661523800880338,0.06693490713131268,0.026460705407759796,2.5175155757286793,734.53125,642.78125,24482
705,0.10894495412844037,0.10740632622429684,0.043275216493415765,2.517490678412114,241.75,194.25,11646
646,0.08271722421491838,0.08300945003489886,0.0329623557636696,2.5094451624749325,462.21875,391.59375,15479
1024,0.07187342198283117,0.07249267473907305,0.028753685400319855,2.4996246909633246,398.0,344.625,25071
626,0.07607192254495176,0.0751160032421831,0.030437678748121526,2.4992681989472203,494.3541666666666,424.4583333333334,15916
835,0.06608151585689519,0.06654536858377579,0.02651648588281302,2.4920917556321713,749.0000000000002,656.1458333333336,24539
854,0.06351474217430836,0.0635297330995523,0.025509559035269976,2.4898408508940406,767.625,675.9375,24761
289,0.086400314898642,0.08790878368040199,0.03478443506784098,2.483878629339049,345.0,290.125,17195
232,0.07806507484844735,0.077929453011274,0.03157866710308536,2.4720826434381107,544.625,465.75,19523
644,0.07517883023984313,0.07653405780132397,0.030455761499927698,2.4684600396552754,479.1041666666673,412.1041666666669,15693
814,0.08369175627240133,0.08521405231966346,0.034012330734949296,2.4606298499386297,251.95833333333323,213.04166666666669,15711
841,0.08771384136858476,0.08699114816323672,0.03566475096622606,2.4593986777490286,437.125,366.625,14788
853,0.07429368678060691,0.07342898685948278,0.030390207843269252,2.444658725723763,577.5,497.625,19507
610,0.07659643965376449,0.07492076229877476,0.03147053223984477,2.4339098897344322,412.0,353.375,25194
481,0.07985677408610209,0.08079008824291492,0.03290651944004422,2.426776682705729,405.25,345.3125,17441
844,0.05964811312998438,0.05978522956425515,0.02462532083816648,2.4222268421183983,805.53125,714.84375,25343
633,0.10747894997523527,0.1063938397214015,0.04446875985793705,2.416954066598549,279.5,225.25,10262
897,0.08497644390158786,0.08715296483643738,0.035240382822814206,2.4113371392371796,388.625,327.75,16978
1025,0.07380436921865774,0.07339048843968071,0.030612887533456527,2.4108921165309107,341.0,294.125,24365
630,0.09995217599234815,0.10112265255127902,0.04146331631252043,2.4106170196079124,287.5,235.25,10121
65,0.07688692791687336,0.07674784800808954,0.03214397761350218,2.391954376068778,429.6666666666665,368.31249999999994,17885
23,0.06244738982180316,0.06157093328824308,0.026168527248081015,2.3863547699797487,775.7083333333331,684.5208333333335,25211
636,0.07304227304227304,0.07244986718625696,0.030881650444121004,2.3652321683531725,483.875,418.0,15813
852,0.05586737132478464,0.055740526755996375,0.023840748633787864,2.343356418162458,805.395833333332,720.1666666666664,25139
418,0.05647882279761501,0.05748024198161653,0.024182099962931514,2.3355632010532914,875.7604166666667,782.1250000000001,26221
638,0.08349301943607994,0.08340569197662746,0.03588148356960022,2.3269110173253127,371.0625,313.875,13250
280,0.07131127105599745,0.07103273622100169,0.03071920752050581,2.3213903225985066,411.8031250000006,356.9802083333336,18142
2,0.05305840467582817,0.053397292405207894,0.022951162955293817,2.3117959111344266,931.5069444444442,837.6388888888887,27184
320,0.09316620465228395,0.09315371339099887,0.040339069396317075,2.3095774405938565,283.4375,235.125,12659
428,0.05629658309940955,0.05605160287650527,0.024386127797281058,2.3085494986082358,852.546875,761.671875,26059
1015,0.06813070511972483,0.06948172571515814,0.029616197756948286,2.3004541527867337,504.625,440.25,23663
628,0.0845057854189595,0.08548661332481479,0.036740439676753625,2.3000755070557286,379.7916666666665,320.6041666666665,13337
608,0.06348444870872312,0.06345416966634673,0.02761777854531383,2.2986804896187105,415.65625,366.03125,25752
624,0.06848110480830916,0.06798205394078331,0.029882292992870554,2.2916951127093115,514.7222222222231,448.74305555555566,16170
145,0.08825708825708829,0.08769009682811166,0.0387788657941059,2.275906900570122,290.6666666666667,243.5208333333333,13104
438,0.05669931927610825,0.057576493583907935,0.02498281210716524,2.26953311072001,795.5625,710.1875,25388
192,0.06462392108508004,0.06478577762657213,0.028584651148028793,2.260790966117371,449.6927083333335,395.09895833333286,26687
832,0.054629159870691224,0.05452273385134697,0.02422810967972461,2.2547842399940863,873.3611111111104,782.8819444444439,25905
838,0.07823392718822618,0.07810817889712418,0.034793809749117846,2.2485013211354272,435.0,371.875,14601
634,0.06541829330157269,0.06590943700910219,0.029101921126758,2.2479029139221773,503.17708333333417,441.385416666667,16055
422,0.07505436005098598,0.0729729272161377,0.03341409890890736,2.2461883606556983,448.0625,385.5,15009
21,0.06602211890673415,0.06726623066056515,0.029476883146779348,2.2397930804956134,630.5520833333336,552.447916666667,20487
429,0.055826756413840564,0.05576459523058603,0.024929588019441014,2.239377416518267,767.140625,686.015625,25073
713,0.09528965890633459,0.09501012486138503,0.042634877573957265,2.235016595064425,252.875,208.875,11287
216,0.07278614669857807,0.07543889106499647,0.03257865578549486,2.234166663530205,476.25,411.625,17049
254,0.08938327895916041,0.09068568145387218,0.04011561594577423,2.2281417560678394,288.69791666666686,241.32291666666663,12740
402,0.07837886091769326,0.07707135299262254,0.03523730350547312,2.2243149480924194,377.5,322.625,24286
295,0.08348567946374162,0.0837770804651382,0.03771109615123568,2.2138226671781864,333.375,282.0,16409
818,0.09136913129041327,0.09162624106082619,0.04132269027683256,2.2111128457103164,242.625,202.0,15360
406,0.08958272541581558,0.0891536871378322,0.040778649023813715,2.196804640671188,233.375,195.0,17656
81,0.07521841630841768,0.07739290259211756,0.03450455699569607,2.1799560074862008,403.8229166666667,347.3229166666667,18257
419,0.05500849133743816,0.053282578483823895,0.02531113061963681,2.1732925393210856,786.2395833333337,704.2500000000002,25203
817,0.07939508506616257,0.08162954965815729,0.036647347443853145,2.166461984398805,214.125,182.625,15266
416,0.05005536049451425,0.049324254196889995,0.02312141517319279,2.1648917300074677,923.6822916666653,835.6197916666657,26698
436,0.05018371056106898,0.05074416667645102,0.023232560831068602,2.160059363492937,836.635416666665,756.677083333333,25798
0,0.04702190318424423,0.04789783499809631,0.021792344454232088,2.157725768468777,987.5815972222207,898.8767361111113,27705
22,0.05173223722842033,0.05040031452587376,0.024225283300093596,2.135464695606695,839.5781249999991,756.9843749999994,26178
920,0.08117519042437432,0.07986149355076119,0.03813848226812873,2.1284326380289698,310.5,263.875,15064
605,0.06349494582652382,0.06196003595655757,0.02996040809481366,2.1192950918954674,549.0625,483.5,24388
400,0.0645301750413655,0.06552283578407088,0.030637771159613834,2.1062294220157907,382.0,335.6875,24900
849,0.05329067641681901,0.053431401405259725,0.02545604735089352,2.093438768487696,720.1875,647.3125,24473
8,0.061647944723721884,0.06180357087877499,0.029666115364581015,2.078059225689004,534.5729166666664,472.48958333333275,18063
12,0.0496744444982329,0.050407372866620795,0.02391670632617081,2.0769768136458127,903.4635416666654,817.9531249999995,27004
437,0.06270330902972518,0.06313441072557935,0.03028461918525273,2.0704671452583074,592.125,522.25,19992
561,0.08637142158062149,0.0870211436695602,0.041798361380859544,2.066382956825025,277.5,233.375,12799
293,0.06977370689655173,0.06952674087016493,0.033771902159712035,2.0660283381901956,372.28125,323.71875,17493
426,0.04868838457784281,0.048674973652037365,0.023600022790945988,2.0630651507896776,895.3177083333316,812.1822916666662,26513
788,0.07516650808753568,0.07608614116164414,0.03647894169726949,2.060545196495161,353.125,303.75,14853
20,0.04588154790477236,0.04530054894632286,0.02231991877808256,2.055632386522238,888.9357638888868,810.9427083333334,26621
386,0.08638287279063978,0.08582693826616726,0.04212986821853985,2.0503950390384977,272.75,229.375,12416
290,0.06514462160648167,0.06610808975940477,0.03194675319825201,2.039162515270757,406.03645833333337,356.3697916666669,18055
183,0.05611805040399376,0.056757021899442525,0.0275202073292767,2.039157980626619,548.7083333333338,490.395833333333,24954
3,0.05073362287447677,0.05243933377472947,0.024897124963998242,2.037730177594346,837.0972222222216,756.2604166666675,26089
842,0.05052167714341266,0.051065835431356996,0.024825895079170674,2.035039501387451,844.3020833333321,763.0937499999993,25759
112,0.07645668482170373,0.07772652609365167,0.03780358454228282,2.0224718303151366,327.3437500000001,280.8437499999999,13538
642,0.06892024942566459,0.06964835004164607,0.03420159678867513,2.0151178862059895,407.125,354.625,14887
239,0.04800364859174647,0.0476041831279017,0.023860954652088137,2.0118075446551984,669.5313616071414,608.1957961309523,26548
833,0.05938544239430484,0.059768996592974674,0.02958778315611016,2.007093335819625,607.6458333333333,539.5208333333337,19986
338,0.049462810156061375,0.048983056933349874,0.024705577874238768,2.0020907994075987,567.7261160714279,514.2104910714288,25372
213,0.0586242451023714,0.05899024039222375,0.029334032966456224,1.9985061436798972,524.0520833333344,466.010416666667,17819
603,0.06487797483704714,0.0637168739100133,0.03250918448731278,1.9956814008166461,439.0625,385.5625,20601
840,0.06353068396864017,0.06380515232804783,0.03190024009760108,1.9915425016947668,491.75,433.0,17162
178,0.079521314261436,0.08054667528901924,0.04000547032593018,1.98776101402045,317.6041666666667,270.8125,13256
210,0.046441091619583694,0.04582560273814352,0.023381073646461564,1.9862685658411576,772.6822916666664,704.0989583333338,25303
211,0.051754907792980386,0.05185961732946462,0.026069603681216268,1.9852587107133874,718.2499999999994,647.5625,24426
433,0.050267057201929706,0.04930373256224603,0.0253399255055442,1.983709746539374,761.96875,689.03125,25129
887,0.06365607858145159,0.06367945322825509,0.03212180719574151,1.9817091296747051,434.27083333333286,382.29166666666623,20549
816,0.07279956128324651,0.07365022889762718,0.03676761004287326,1.9799916610940393,244.53125,211.34375,15642
5,0.05395422387698612,0.05527444730888584,0.02728017234388569,1.9777816355723608,620.2118055555551,556.7118055555555,19031
700,0.08517188301693177,0.0834050177764793,0.04326389720985382,1.9686595177452704,264.375,222.875,11708
691,0.08524240809802877,0.08586521036185477,0.04361470957147656,1.9544417224269715,254.625,214.625,10947
710,0.08114887746143233,0.08289305344273899,0.04153771027670562,1.953619420060828,269.375,228.9375,11941
492,0.06676089125374127,0.06669691871072042,0.03425808313079261,1.9487631867450799,400.96875,350.78125,17918
7,0.05573567139353272,0.05564107529501934,0.02867828353559387,1.9434800316538032,585.1249999999999,523.3437499999999,18730
645,0.07132406730065838,0.06921439930797156,0.03678279232763089,1.9390607071198454,366.125,317.375,12854
1008,0.06432,0.06481763000781299,0.03335153609824605,1.9285468534501047,415.75,365.5,19772
497,0.06586722280152937,0.06594941356554612,0.03430053066531579,1.9202974858967232,383.3125,335.9375,17801
