,p1,p2,p3,p4
0,['OAK-MOR-191'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
2,['OAKS-MOR-585'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
13,['OAK-MOR-1055'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
1,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
15,['OAK-MOR-599.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
14,['OAK-MOR-735.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
6,['OAK-MOR-727.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
3,['OAK-MOR-1040'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
11,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
4,['OAK-MOR-736.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
8,['OAK-MOR-729.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
12,['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
9,['OAK-MOR-1060'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
10,['OAK-MOR-1061'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
7,['OAK-MOR-728.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
5,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-534'],['PM_F7']
