,p1,p2,p3,p4
12,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']"
32,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-659.fq.barcodeStripped']
22,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],"['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']"
62,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']"
2,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']"
72,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-735.fq.barcodeStripped']
30,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']",['OAK-MOR-659.fq.barcodeStripped']
10,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']","['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']"
0,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']","['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']"
42,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped']
20,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']","['OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']"
52,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-1055']
70,['OAK-MOR-628.fq.barcodeStripped'],['OAK-MOR-983'],"['OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped']",['OAK-MOR-735.fq.barcodeStripped']
