,p1,p2,p3,p4
400,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-981']
220,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
402,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-981']
221,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
370,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-981']
40,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
404,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-981']
372,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-981']
401,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-981']
310,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
223,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
222,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
41,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
311,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
193,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
360,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-981']
42,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
190,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
43,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
403,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-981']
312,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
313,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
13,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
10,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
373,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-981']
281,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-578.fq.barcodeStripped']
280,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-578.fq.barcodeStripped']
224,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
130,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-982']
192,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
133,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-982']
314,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-578.fq.barcodeStripped']
12,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
44,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
283,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-578.fq.barcodeStripped']
132,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-662.fq.barcodeStripped'],['OAK-MOR-982']
362,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-981']
374,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-981']
181,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
371,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-981']
191,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
11,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
361,['OAK-MOR-985'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-981']
213,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-659.fq.barcodeStripped'],"['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
390,"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-981']
282,"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-578.fq.barcodeStripped']
194,['OAK-MOR-1144'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']","['OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']"
103,['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-593.fq.barcodeStripped'],"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-982']
