,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
2,0.38342710399027174,0.3832111797759237,0.015811075665097495,24.250538806583304,1749.137499999999,779.5645833333335,30663
22,0.38695878143365453,0.3870398644748973,0.015976247417304846,24.22088061896913,1806.8749999999995,798.6458333333336,29806
62,0.38095713358950045,0.38087313382224003,0.01627467987996183,23.407964789436704,1729.5625,775.3125,28296
32,0.374478388542579,0.3742736267284311,0.016006159986649168,23.395891885057605,1667.5,758.875,28161
72,0.3796511041645659,0.3801739155733512,0.01641939904492882,23.122107156645438,1710.25,769.0,28180
30,0.3376004259026232,0.3381407906042741,0.014791912936816464,22.823310774250814,1727.34375,855.40625,29330
12,0.359273234156072,0.35970807046043096,0.016097481293329507,22.318599264653162,1767.4375,833.125,29888
20,0.33327629435090883,0.33296575559211544,0.0151170424939508,22.046395284280763,1866.739583333333,933.4895833333333,31146
52,0.3743847874720358,0.3739342162793087,0.017262708876389952,21.68748776063057,1535.875,699.125,25764
42,0.3389795282136548,0.33894110904852875,0.016219810315124737,20.89910557693522,1610.625,795.125,28252
50,0.32968464946572845,0.3298595509076287,0.015821083666140698,20.83831022089208,1594.375,803.75,26795
60,0.3288897778614458,0.3297757917767535,0.015890048638972754,20.697845886688715,1764.765625,891.234375,29439
0,0.33661816304844744,0.3361424663440927,0.016333029690780168,20.60965842965834,1839.6265625000008,913.0317708333332,32190
10,0.3181593604024434,0.3183571898174749,0.01563764977103011,20.345727462950148,1834.21875,948.78125,31261
70,0.32782165968785687,0.32696886725972885,0.01632943414940938,20.07550639467283,1744.09375,882.90625,29303
40,0.2931587254611818,0.29368862578896066,0.01539531348534099,19.042075742096436,1638.59375,895.65625,29397
33,0.30568150013993844,0.30520041220419597,0.01699964616742846,17.9816389782058,1457.875,775.25,27668
23,0.2955681670493437,0.29659176203234483,0.01716162031768041,17.222625927974914,1557.5833333333337,846.8958333333331,29226
3,0.3027261316806586,0.3037231133381351,0.017738072985810413,17.066461048098326,1526.5833333333337,817.0916666666662,30061
63,0.29140200556801904,0.2915132988007645,0.017389910885944482,16.756957955635457,1493.0625,819.25,27774
73,0.29260590221060656,0.2922737390323049,0.017706706231788837,16.52514580522556,1483.75,812.0,27659
13,0.2821830192141341,0.2817569035082114,0.017427110669374333,16.192186104035628,1528.5625,855.75,29345
53,0.29664588898783023,0.2962986178297724,0.01841213193819186,16.11143619780958,1365.125,740.5,25361
43,0.24912802332894962,0.24902396475180236,0.01782156742258114,13.979018647556636,1365.375,820.75,27737
31,0.16795725761131855,0.1674009650063662,0.016069158878172347,10.452149915541904,1472.161458333333,1048.7552083333344,29636
34,0.17430233493284722,0.1750510918521337,0.017049971426577805,10.223027978870485,1368.90625,962.53125,28517
24,0.1738090981285679,0.17432019963362808,0.017049148586687508,10.194591081473906,1470.3854166666667,1034.9375000000002,30254
21,0.16243729279118602,0.16256640708921155,0.01615607023176476,10.054257654303514,1609.7647569444414,1159.872395833335,31574
