,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
22,0.5130038184683031,0.5123633797092585,0.010742981826626299,47.75246079229435,3035.723958333336,977.1197916666657,39025
20,0.515815322747046,0.5159451930591739,0.011223392254267248,45.95894993787888,3099.2291666666706,989.9618055555562,39188
200,0.4801709666429195,0.48001191184769976,0.010472634084515967,45.85006625533336,3111.3463541666647,1092.6901041666688,40629
0,0.48091205915849855,0.4813454845239539,0.010611187587832568,45.32122867283408,3187.5295138888887,1117.289930555557,41533
222,0.5077548884342737,0.5078117103508871,0.011268774168580074,45.05857343827253,2971.078125,969.984375,38274
220,0.5107022681954144,0.5107761213091931,0.011347121901416833,45.007207345824554,3030.4687499999995,981.5312500000007,38420
202,0.47938312550754775,0.4792269073254799,0.010708798308675016,44.76535197410596,3045.703125,1071.828125,40436
302,0.48030406061783565,0.4796329900530902,0.010752512060640417,44.669009242592644,2857.171875,1003.078125,38643
2,0.48037381791027417,0.48090736419459384,0.010947492641297296,43.879802768549666,3118.2031249999995,1094.5208333333333,41319
320,0.5116670412251894,0.5109251660543385,0.011785406451757463,43.41530716990152,2872.7499999999977,928.0208333333347,36865
322,0.5078590060865494,0.5082233961857648,0.01176098475333309,43.1816737065849,2818.0,919.75,36734
300,0.48215307658068024,0.4825322156572056,0.011190550895266618,43.08573197988148,2913.604166666662,1017.9791666666679,38809
402,0.4874949387983929,0.4878989810510993,0.011339292150362584,42.99165524038507,2238.703125,771.328125,30555
204,0.4951573169850988,0.4954629469754107,0.011607436087714858,42.65862962701695,2911.375,983.03125,38947
400,0.49194232976346464,0.49195045713474594,0.01154908020045797,42.59580167639299,2288.4375000000027,779.291666666665,30696
3,0.48035882804178776,0.4798385122985527,0.011295127879043554,42.527967207261355,2794.1927083333344,980.8281249999995,39595
420,0.5211362317199204,0.5200198831226929,0.012268150991402292,42.4787917987919,2238.510416666673,704.6979166666658,29339
