,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
84,0.13544273200703114,0.13451333819191888,0.01699338801209395,7.970319509602117,1586.2065972222197,1207.7812499999977,29721
364,0.13270429359585978,0.132306458528095,0.017970770652268202,7.384452017315704,1549.9671874999974,1186.7880208333315,29164
504,0.12910127390996473,0.12883210124289113,0.017615358688194728,7.328904065773264,1430.4031249999966,1103.2989583333322,27985
86,0.1360394098901173,0.13670167051010024,0.01856209345101916,7.328882932794846,1519.3836805555563,1155.494791666667,28839
85,0.13256566848680565,0.13238469462677738,0.018182674444875573,7.290768411913499,1459.4583333333333,1117.8020833333328,28883
87,0.14196633476881448,0.14238811520299016,0.019740101235933144,7.1917733892059,1301.0208333333335,977.5416666666673,27109
369,0.15237272483541361,0.15211746949886634,0.02145622679348868,7.101561998853133,1208.875,889.1875,24520
367,0.14267547618389406,0.1423742141048915,0.020182141479086816,7.069392330429235,1291.6875,969.125,26710
90,0.14055371861738045,0.14022853802450286,0.019910000613903037,7.059453253820224,1381.572916666666,1041.0625,27246
91,0.14283971062494563,0.14264142027506055,0.02027679360168726,7.044492015397333,1365.8124999999993,1024.395833333333,27120
366,0.12916323665676435,0.12838013350463517,0.018336370359436558,7.044100556699996,1478.8333333333335,1140.510416666667,28325
365,0.13441725099161272,0.13405334706996283,0.01919568452841005,7.00247239386916,1443.421875,1101.359375,28394
89,0.1484291210359043,0.14782851950879664,0.021231415944008885,6.9910137612742815,1215.7916666666672,901.5208333333334,24911
224,0.13998612278850547,0.14016516649771307,0.0201192814287399,6.957809267906494,1196.2812499999975,902.4833333333322,22997
226,0.14531072989156818,0.14591579405856483,0.020975791045575422,6.927544690726677,1179.4791666666665,880.1874999999999,22497
88,0.13235494818440718,0.13096145767064804,0.019181509509649055,6.900132031727088,1296.4166666666665,993.3541666666667,27217
7,0.13102925820519598,0.13101455290782912,0.019080785853818734,6.867078704673604,1438.5572916666654,1105.2447916666652,28182
227,0.14904839974338868,0.14967794969886727,0.02182156029612719,6.830327333185301,1007.5,746.125,21345
6,0.1297326861652321,0.13004047960309273,0.019026108727069037,6.818666287797323,1455.925347222221,1121.5434027777765,28341
229,0.1566568047337278,0.15514269516102203,0.022999983295351828,6.811170370084021,977.375,712.625,19914
0,0.11450297464899625,0.11548733614512255,0.016848128512957167,6.796183597539452,1709.7436631944483,1358.4287905092574,31331
3,0.12260853191148958,0.12318290622160874,0.018089441905044613,6.777905728385002,1376.5850694444441,1075.8906250000018,28205
225,0.13914573668213087,0.1393554649031285,0.020544471604820508,6.77290413492465,1112.625,840.8125,22510
281,0.11999590185706585,0.12056414269735136,0.01775594291870456,6.758069813947145,1537.276041666666,1207.8697916666633,29655
2,0.11667709041903507,0.11726757066921924,0.017342517619528396,6.727805787993077,1615.4979745370413,1277.904224537038,30219
509,0.14720357941834453,0.14821185114493426,0.022115668293249915,6.656076473315238,1121.75,833.875,23668
142,0.12947823562185642,0.12891763600853343,0.019545999878760996,6.624283046402225,1249.4166666666672,962.9618055555545,23373
1,0.11707949758396168,0.11734127839433385,0.01777735326116313,6.585879003694921,1552.8394097222233,1227.3376736111077,30234
505,0.12930061671696627,0.12950456121351392,0.019668728786021918,6.573918331156055,1344.75,1036.8125,27334
62,0.1272342969296716,0.12772355776286967,0.019370431773712525,6.568480166887159,1438.8177083333328,1114.0104166666667,28173
170,0.15148483644187424,0.15144385213872313,0.023070158008256784,6.566267833434777,875.2604166666667,644.9687499999999,17242
146,0.14006462035541184,0.1404733539908112,0.02139432627771929,6.546811455394108,1139.4114583333317,859.4427083333336,22169
280,0.11449778798450715,0.11474242194731835,0.017585498105084387,6.5109209474938385,1671.588020833333,1328.1272569444461,30654
285,0.1312811289429993,0.1309135325244864,0.020211205814015913,6.495462475175996,1277.640624999999,981.1093750000002,25493
168,0.1434922333842236,0.14455275596920747,0.02211191125448458,6.489363661638318,876.9489583333334,656.8593750000005,17580
507,0.13593952993976616,0.13509267283177248,0.020967579608859754,6.48332008155703,1202.25,914.5,25778
140,0.11997328122050348,0.12022750227117092,0.018509943732684695,6.481558396563665,1272.0670138888886,999.5354166666675,23994
368,0.13565977214909855,0.13549368480477783,0.02093833185375946,6.479015286250751,1283.4375,976.8125,26790
370,0.12805143135679187,0.12805241611313253,0.019770031786424034,6.477047317886663,1337.921875,1034.171875,26813
56,0.10838285670564614,0.10811124312890857,0.016828104389115323,6.440586188409304,1677.5068576388876,1349.4379340277756,31065
29,0.14236242659594608,0.14133143896769515,0.022107108563381262,6.439667412307306,1005.0885416666664,754.578125,21344
230,0.14892914892914894,0.1479540669258047,0.023181235112817507,6.424556250102573,1088.0,805.9375,21458
63,0.12893994640062442,0.1294146728181682,0.020083593005095254,6.420163282930104,1423.9166666666667,1098.6562499999995,28023
371,0.12899357829944844,0.1300089879929079,0.020128639366424454,6.408459903882822,1324.0625,1021.5,26698
58,0.11376059765979675,0.1130743133206622,0.017755641878782265,6.407011272047507,1594.09982638889,1268.4539930555545,30005
648,0.1375997835204979,0.13653059588913358,0.021494099585773987,6.401746812951831,1051.0,796.75,21819
202,0.13736921719399975,0.13726743744871905,0.02160212739047279,6.3590596755106565,1127.84375,855.40625,22052
644,0.12518765741510438,0.12551390493765846,0.019740888186079143,6.341541284012949,1228.0802083333315,954.8093749999998,23441
283,0.12365579912928679,0.12358202760294801,0.019536002797693557,6.32963664111912,1369.8125000000005,1068.3229166666679,27734
30,0.13277448282584395,0.13404834182263098,0.02100412435912925,6.321352918867801,1049.1458333333326,803.2013888888888,21356
5,0.12464163366456905,0.12534211383360327,0.019746164091634547,6.3121947678624535,1285.8090277777771,1000.8020833333335,25955
506,0.12377126613843524,0.12337510269819027,0.019628502987924405,6.30569056716043,1375.4375000000005,1072.4583333333333,27251
309,0.14620020207852194,0.1464310619895368,0.02326470693027797,6.284205621702845,992.609375,739.390625,20986
231,0.15228426395939088,0.1512143395028489,0.024296307055897543,6.267794673858729,1078.25,793.25,21376
336,0.10790076031200162,0.1081308458634344,0.017243147093046394,6.257602497372102,1640.9054687499972,1321.283072916666,30422
562,0.12191336928965564,0.12161320856277971,0.019513143780118293,6.247756418105816,1253.8628472222222,981.359375,23841
308,0.13259263590823175,0.13138260215400982,0.02122720807811465,6.246353049364762,1059.2130208333335,811.2088541666661,21501
646,0.1307396382408497,0.130457448010983,0.021014683555699444,6.22134698789654,1191.0104166666665,915.5937499999999,22901
566,0.13209832817464592,0.13143484935488023,0.02132493297110667,6.19454834177566,1148.7083333333328,880.635416666666,22553
35,0.14381152861986815,0.14482089965505046,0.023227024052902643,6.191560670549883,945.2291666666669,707.5416666666666,20119
28,0.13252149295817053,0.13185323174992283,0.02143833864139793,6.181518781603182,1084.5680555555564,830.7475694444448,21916
141,0.12230630161409077,0.12221141836018683,0.019797892521495553,6.177743488671673,1167.192708333333,912.7968750000001,23365
147,0.14341730789501417,0.1428696457972177,0.023233387407132346,6.172897020216128,1129.958333333331,846.5,22069
203,0.14087781883042425,0.14045557861490868,0.02289880209398377,6.152191640952137,1119.34375,842.90625,21957
282,0.11338403840918726,0.11244245417515479,0.018433454072510454,6.150992535808861,1572.7699652777806,1252.4366319444453,29603
31,0.1446206959683009,0.14574152736205734,0.02366031875387383,6.112373103368381,911.7500000000006,681.3541666666661,20166
119,0.1254389786356323,0.12380539039558394,0.02052291391576538,6.1121427079257025,1318.6041666666672,1024.6666666666663,27294
118,0.12319588083335543,0.1230253980893024,0.020215053097076306,6.094264518710228,1327.0208333333335,1035.9166666666663,27428
567,0.1304775513585155,0.13121398680589902,0.021503984709523544,6.067598778598947,1137.2604166666665,874.7395833333331,22454
564,0.12770099696204723,0.12773524280373488,0.021152746703565543,6.037088173543048,1098.145833333334,849.4374999999997,22553
508,0.12778810408921934,0.1277927109609955,0.021187591198005448,6.031270987579231,1213.5,938.5,25883
560,0.11521228268135875,0.11608340469376834,0.01911170062908569,6.028363719030824,1308.514583333331,1038.1499999999996,24502
341,0.12818506928922666,0.12839316846569093,0.021273870088900627,6.025470154398733,1261.875,975.125,25351
420,0.10402009546843737,0.10437455140997802,0.017280192279725985,6.019614468669953,1511.5026041666656,1226.6769097222225,29191
286,0.11820449598764322,0.11831003861769776,0.019641643809147968,6.0180551656572785,1410.1432291666677,1112.0130208333321,27839
198,0.1238741734437942,0.12361832052363592,0.020626336880068496,6.005631255033727,1232.2343750000005,960.598958333333,23229
337,0.1125466551823141,0.11219002629515551,0.018745454160698893,6.003943901144617,1513.671875,1207.421875,29460
311,0.14507566753822992,0.14528496757613074,0.02424869815277222,5.982822938543784,903.25,674.375,19871
61,0.12175214068686138,0.12190176313512517,0.020384421758856807,5.972803257662259,1269.0989583333333,993.6093750000001,25794
143,0.12494153284183826,0.12538381905621707,0.020995344062253073,5.950916187483065,1052.2187500000018,818.489583333333,22050
588,0.13837670101153965,0.13766455229893368,0.0233443723199601,5.927625687036514,882.7281250000004,668.1260416666668,17880
4,0.11538499760782879,0.11467779585924093,0.01952785302059303,5.90873955709058,1363.9861111111143,1081.781249999999,28306
57,0.10968231242210078,0.10995599605073558,0.018586817786046237,5.901080738223143,1527.9140625000007,1225.872395833334,30011
34,0.14225629028645387,0.14167178950553466,0.024113997421779883,5.899324272049863,956.1875000000005,718.0208333333334,20203
342,0.11544020572758615,0.11487594623543594,0.019593112233602304,5.891876918338961,1392.7578125,1104.4765625,27686
425,0.12107009373813252,0.12109712022827658,0.020552171884148,5.890866153737967,1168.552083333334,916.1562500000005,24474
338,0.11017498138495911,0.110468920228193,0.018714545930024258,5.887130887220853,1553.0885416666677,1244.828125,29416
618,0.11660456965123868,0.11708985790087417,0.019823798432824658,5.882049802229749,1237.7968750000005,979.2760416666667,23695
339,0.11792580732630056,0.11704414538015835,0.02005130903819552,5.881202424323767,1352.8125,1067.40625,27577
590,0.14258807888322633,0.14160941876171904,0.02426848506878864,5.875442100282018,859.4166666666667,644.9166666666667,17530
284,0.12012131371346133,0.1197697858878362,0.020472364766673006,5.867486002838666,1350.3645833333364,1060.7395833333328,27810
287,0.11841440448302802,0.11901465118446469,0.020214743762414132,5.857823669434752,1394.9947916666667,1099.5989583333323,27700
145,0.13123772999132544,0.13138589548219481,0.022413110777810857,5.855400050993891,1032.3958333333326,792.854166666667,20609
59,0.116985362388913,0.11672904332309152,0.02004887193604202,5.835009708382019,1359.65625,1074.854166666666,28028
312,0.14149774099396265,0.14177754609501536,0.024285572286250473,5.826411637582576,892.1875,671.0,19935
