,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci
12,0.37128889341549115,0.37170773783718025,0.01513691657628643,24.528700514684356,1683.0,771.625,28868
32,0.3871176915594942,0.3868608559031966,0.01605913838853612,24.105757245098513,1604.375,708.875,27213
22,0.38872714962762384,0.38922172778329667,0.01623933755784032,23.93737726327064,1709.291666666666,752.375,28786
62,0.3862823535645217,0.38667379667900925,0.016507374887599742,23.400592534836964,1635.25,723.9375,27322
2,0.3903079960909903,0.38952646551655573,0.016773252933610462,23.269666154552887,1658.3000000000006,727.2145833333329,29616
72,0.3832405821917808,0.38327258617304943,0.01688619662951974,22.695494468056573,1615.625,720.375,27208
30,0.3492678944951788,0.34959840276080806,0.015654304956071008,22.31130002100328,1652.9375,797.1875,28338
10,0.3291606886657102,0.32983206519627445,0.015006125878104862,21.93508779944209,1737.046875,876.703125,30190
0,0.34116383164865993,0.34139329221721193,0.016223498557512598,21.028992633076516,1730.1984375000002,849.9463541666657,31091
42,0.3452189801229168,0.3446105292820988,0.016431232465897325,21.009926117192457,1518.5,739.125,27300
20,0.33186850635198645,0.3320366062357038,0.01589011593822614,20.885216170992514,1750.588541666667,878.1822916666667,30078
52,0.3726645841928449,0.373314906976813,0.018008546459265258,20.693762544123146,1455.625,665.25,24903
70,0.3319044237012987,0.3325486593054928,0.016832878487959963,19.717627257791925,1640.90625,823.09375,28289
60,0.33445038532017973,0.3345741922060627,0.017033098950591564,19.635322162474974,1661.265625,828.546875,28421
50,0.32535752814583274,0.32583167900006504,0.016761776679113504,19.410682672514895,1497.28125,762.15625,25889
40,0.2995044285111767,0.2995985335994512,0.016034098180964945,18.679218820472027,1540.5625,830.4375,28404
33,0.3133424380975002,0.3123602061730184,0.017609280223293926,17.794165015501555,1382.375,722.75,26713
13,0.28829258708283045,0.28907109377701556,0.017395219640733216,16.57309266781289,1434.3125,792.375,28321
3,0.30203381749353053,0.30191590565296483,0.018276998057798324,16.525351512233733,1416.6250000000005,759.3937499999996,29013
23,0.29043257898316455,0.29096829294339355,0.017943217105959437,16.186204361686283,1442.770833333333,793.3333333333334,28206
63,0.296133848432916,0.2958768479381443,0.018571449785857088,15.94565054681051,1394.4375,757.25,26803
73,0.2962486852868996,0.2960835402800692,0.018720019652745747,15.825233668675532,1386.5,752.75,26690
53,0.28786626835314305,0.287342699106428,0.01868322956338814,15.407735979289626,1266.375,700.25,24481
43,0.25315525058203653,0.2523322692808611,0.018122653396990984,13.968994773363013,1278.375,761.875,26793
31,0.17539148917711314,0.17499165982379555,0.01646652691117867,10.651395411016802,1411.2656249999986,990.0885416666663,28638
39,0.16985748363814301,0.1703098376133131,0.017012713824939643,9.984149817952142,1195.375,848.25,26904
34,0.18218418311326331,0.1828883660629177,0.01839158695842016,9.905843553639318,1312.1875,907.75,27564
21,0.15725699481933791,0.15641992794785556,0.016047838968304286,9.79926301166983,1518.480902777775,1105.7951388888882,30504
27,0.18941798941798943,0.19028233465091016,0.019447085723456742,9.740173520679075,1088.8750000000002,742.0625,24304
64,0.1684024930293587,0.1670373284201849,0.017298747407292907,9.734953003496807,1335.703125,950.671875,27643
24,0.17233762633707192,0.17252631885492328,0.017767065575586386,9.699836228098352,1387.6874999999998,979.6979166666666,29228
36,0.184960888215998,0.18488064416309608,0.019133388296861117,9.666917607392168,1174.0,807.5,25706
74,0.16887946231820186,0.1688017942177088,0.017724436104836497,9.52805840023985,1326.09375,942.90625,27519
35,0.16786914137798095,0.16708803763825408,0.017756912262241985,9.45373491172422,1325.3125,944.3125,27969
7,0.19123730659969207,0.1909794159524032,0.020512392052454583,9.323013430645108,1062.7437499999996,721.5249999999992,24926
37,0.19317045292184598,0.19330414984920133,0.02125655636733015,9.087570422212677,1043.875,705.875,23100
61,0.15149423454572855,0.15203430890354172,0.01688676308410387,8.971182564190508,1429.2682291666654,1053.1901041666677,28750
26,0.16720380828479348,0.16702550640592478,0.01866821436223972,8.956604260073066,1233.6250000000002,880.1875,27173
71,0.15121204043378683,0.15132531861978638,0.01693240241262399,8.930335858368826,1417.0520833333321,1044.7916666666672,28612
4,0.1636802710452725,0.16301034090213246,0.018837149795631884,8.68922702325317,1364.5557291666678,980.6859374999991,30169
55,0.1536557994993238,0.1530584245484631,0.017743154241756307,8.66000472101595,1252.90625,919.15625,25608
67,0.1805886475122635,0.1806303030225531,0.020870054418640784,8.653003192505562,1052.9375,730.8125,23146
77,0.18176051871167806,0.18171030725491108,0.02107941135998017,8.6226562785693,1048.0,725.625,23054
76,0.16841847958934245,0.1688214178729987,0.019585513151879078,8.59913540601738,1195.0,850.5,25680
51,0.1638355104372018,0.16380356428684997,0.019296637065266152,8.490365957709018,1316.031249999997,945.5104166666673,26177
1,0.1518800977179422,0.1515996949277031,0.018037179279074667,8.420390758888873,1498.8112847222192,1103.5624999999986,31589
38,0.16623848612068426,0.1664451210685028,0.019781557434584537,8.403710712385356,1163.25,831.625,25798
57,0.18587587893610516,0.186023691247084,0.022156182096649962,8.389346058146444,969.75,665.75,21475
