"","r1","r2","r3"
"Quercus_sosnowskyii_1",18.58,18.49,19.05
"Quercus_sosnowskyii_2",14,14,14
"Quercus_sosnowskyii_3",6.12,5.99,6.05
"Quercus_sosnowskyii_4",6.75,5.41,5.73
"Quercus_drymeja_mediterranea_1",18.54,18.38,18.78
"Quercus_drymeja_mediterranea_2",18.07,18.88,18.83
"Quercus_drymeja_mediterranea_3",16.95,16.72,16.72
"Quercus_drymeja",10.02,9.97,8.93
"Quercus_Group_Ilex",31,31,31
"Quercus_aff_castaneifolia",3.51,4.79,3.48
"Quercus_aff_cerris_1",0.96,1.79,1.22
"Quercus_aff_cerris_2",1.48,0.79,1.14
"Quercus_sect_Cerris",1.21,1.7,1.27
"Quercus_aff_cerris_3",4.37,2.76,4.16
"Quercus_nagatoensis",35,35,35
"Quercus_gracilis",30.49,32.39,32.88
"Quercus_miovariabilis_1",19.18,17.64,18.39
"Quercus_cerrisaecarpa_1",16.73,16.48,16.78
"Quercus_kraskinensis",33.89,31.52,32.22
"Quercus_Group_Cerris",20.8,22.25,21.73
"Quercus_kubinyii_1",14,14,14
"Quercus_kubinyii_2",11.64,10.73,13.11
"Quercus_sapperi_1",13.07,11.22,13.24
"Quercus_kubinyii",11,11,11
"Quercus_czeczottiae_1",4.57,4.16,4.53
"Quercus_cerrisaecarpa_2",4.91,4.77,4.57
"Quercus_sapperi_2",4.56,4.62,4.22
"MT5",33,33,33
"Quercus_miovariabilis_2",6.22,7.22,5.46
"Quercus_schoetzii",10.03,12.7,12.37
"Quercus_sp",6.19,6.01,6.33
"Quercus_czeczottiae_2",3.99,5.24,4.89
"Quercus_aff_ithaburensis",4.72,3.73,3.39
"Quercus_paleocarpa",48.42,48.38,48.28
"Quercus_tibetensis",35.15,33.71,34.19
"Quercus_shangcunensis",37.78,40.2,34.6
"Quercus_ishikariensis",40.65,46.44,47.22
"OTU68_71",47.78,38.32,45.84
"Quercus_type_IB",38.79,40.38,47.96
"MT22",34.42,34.87,34.15
"MT25",33.71,33.64,33.75
"Quercus_sp4",49.62,52.12,52.64
"Quercus_sp6",50.86,49.87,54.82
"Quercus_kubinyii_3",25.17,24.64,26.18
"Quercus_sect_Cerris_2",27.77,27.02,24.56
"Quercus_sect_Cerris_3",16.88,15.42,15.11
"Quercus_kubinyii_4",15.05,16.53,16.97
"Quercus_acutissima",0,0,0
"Quercus_trojana",0,0,0
"Quercus_afares",0,0,0
"Quercus_alnifolia",0,0,0
"Quercus_aucheri",0,0,0
"Quercus_baloot",0,0,0
"Quercus_baronii",0,0,0
"Quercus_brantii",0,0,0
"Quercus_calliprinos",0,0,0
"Quercus_castaneifolia",0,0,0
"Quercus_cerris",0,0,0
"Quercus_cerris_1",0,0,0
"Quercus_chenii",0,0,0
"Quercus_coccifera",0,0,0
"Quercus_crenata",0,0,0
"Quercus_dolicholepis",0,0,0
"Quercus_floribunda",0,0,0
"Quercus_gujavifolia",0,0,0
"Quercus_ithaburense",0,0,0
"Quercus_libani",0,0,0
"Quercus_macrolepis",0,0,0
"Quercus_phillyreoides",0,0,0
"Quercus_pseudosemecarpifolia",0,0,0
"Quercus_monimotricha",0,0,0
"Quercus_semecarpifolia",0,0,0
"Quercus_suber",0,0,0
"Quercus_variabilis",0,0,0
"Quercus_look",0,0,0
"Quercus_ilex",0,0,0
