,alnifolia,castaneifolia,cerris_aegilops,cerris_all,cerris_eastAsia,cerris_wEurasia,cerris1,floribunda,ilex_all,ilex_clade,ilex_semecarpifolia,ilex_westbound,not_cyclobalanopsis
MT22,,,,,,,,,x,,x,,x
MT25,,,,,,,,,x,,x,,x
MT5,,,,,,,,x,x,,,,x
OTU68_71,,,,,,,,,x,,,,x
Quercus_acutissima,,,,x,x,,,,,,,,x
Quercus_afares,,,,x,,x,,,,,,,x
Quercus_aff_castaneifolia,,x,,x,,x,x,,,,,,x
Quercus_aff_cerris_1,,,,x,,x,x,,,,,,x
Quercus_aff_cerris_2,,,,x,,x,x,,,,,,x
Quercus_aff_cerris_3,,,,x,,x,x,,,,,,x
Quercus_aff_ithaburensis,,,x,x,,x,,,,,,,x
Quercus_alnifolia,x,,,,,,,,x,,,x,x
Quercus_aucheri,,,,,,,,,x,x,,x,x
Quercus_baloot,,,,,,,,,x,,,x,x
Quercus_baronii,,,,,,,,,x,,,,x
Quercus_brantii,,,x,x,,x,,,,,,,x
Quercus_calliprinos,,,,,,,,,x,x,,x,x
Quercus_castaneifolia,,x,,x,,x,x,,,,,,x
Quercus_cerris,,,,x,,x,x,,,,,,x
Quercus_cerris_1,,,,x,,x,x,,,,,,x
Quercus_cerrisaecarpa_1,,,,x,x,,,,,,,,x
Quercus_cerrisaecarpa_2,,,,x,,x,,,,,,,x
Quercus_chenii,,,,x,x,,,,,,,,x
Quercus_coccifera,,,,,,,,,x,x,,x,x
Quercus_crenata,,,,x,,x,,,,,,,x
Quercus_czeczottiae_1,,,,x,,x,,,,,,,x
Quercus_czeczottiae_2,,,x,x,,x,,,,,,,x
Quercus_dolicholepis,,,,,,,,,x,,,,x
Quercus_drymeja,,,,,,,,,x,x,,x,x
Quercus_drymeja_mediterranea_1,,,,,,,,,x,x,,x,x
Quercus_drymeja_mediterranea_2,,,,,,,,,x,x,,x,x
Quercus_drymeja_mediterranea_3,,,,,,,,,x,x,,x,x
Quercus_floribunda,,,,,,,,x,x,,,,x
Quercus_gracilis,,,,x,x,,,,,,,,x
Quercus_Group_Cerris,,,,x,,x,,,,,,,x
Quercus_Group_Ilex,,,,,,,,,x,,,x,x
Quercus_gujavifolia,,,,,,,,,x,,x,,x
Quercus_ilex,,,,,,,,,x,x,,x,x
Quercus_ishikariensis,,,,x,,,,,,,,,x
Quercus_ithaburense,,,x,x,,x,,,,,,,x
Quercus_kraskinensis,,,,x,,x,,,,,,,x
Quercus_kubinyii,,,,x,,x,,,,,,,x
Quercus_kubinyii_1,,,,x,,x,,,,,,,x
Quercus_kubinyii_2,,,,x,,x,,,,,,,x
Quercus_kubinyii_3,,,,x,,x,,,,,,,x
Quercus_kubinyii_4,,,,x,,x,,,,,,,x
Quercus_libani,,,,x,,x,,,,,,,x
Quercus_look,,,,x,,x,x,,,,,,x
Quercus_macrolepis,,,x,x,,x,,,,,,,x
Quercus_miovariabilis_1,,,,x,x,,,,,,,,x
Quercus_miovariabilis_2,,,,x,x,,,,,,,,x
Quercus_monimotricha,,,,,,,,,x,,x,,x
Quercus_nagatoensis,,,,x,x,,,,,,,,x
Quercus_phillyreoides,,,,,,,,,x,,,,x
Quercus_pseudosemecarpifolia,,,,,,,,,x,,x,,x
Quercus_sapperi_1,,,,x,,x,,,,,,,x
Quercus_sapperi_2,,,,x,,x,,,,,,,x
Quercus_schoetzii,,,x,x,,x,,,,,,,x
Quercus_sect_Cerris,,,,x,,x,x,,,,,,x
Quercus_sect_Cerris_2,,,,x,,x,,,,,,,x
Quercus_sect_Cerris_3,,,,x,,x,,,,,,,x
Quercus_semecarpifolia,,,,,,,,,x,,x,,x
Quercus_sosnowskyii_1,x,,,,,,,,x,,,x,x
Quercus_sosnowskyii_2,x,,,,,,,,x,,,x,x
Quercus_sosnowskyii_3,x,,,,,,,,x,,,x,x
Quercus_sosnowskyii_4,x,,,,,,,,x,,,x,x
Quercus_sp,,,x,x,,x,,,,,,,x
Quercus_sp4,,,,x,,,,,,,,,x
Quercus_sp6,,,,,,,,,x,,,,x
Quercus_suber,,,,x,,x,,,,,,,x
Quercus_trojana,,,,x,,x,,,,,,,x
Quercus_type_IB,,,,,,,,,x,,,,x
Quercus_variabilis,,,,x,x,,,,,,,,x
Quercus_tibetensis,,,,,,,,,,,,,
Quercus_shangcunensis,,,,,,,,,,,,,
Quercus_paleocarpa,,,,,,,,,,,,,
