"","test","individual","n","D","Z","p","prop. sign (0.01)","sign. level"
"1","cerrisAfares","Quercus cerris|TUS13-002|OAK-MOR-591","54","0.288 [0.16,0.386]","16.395 [3.038,23.932]","0.004 [0,0.077]","0.963","*"
"2","cerrisAfares","Quercus cerris|Coll #412|OAK-MOR-736","54","0.249 [0.138,0.347]","13.786 [2.956,21.251]","0.004 [0,0.082]","0.963","*"
"3","cerrisAfares","Quercus cerris|4-2|OAK-MOR-1061","81","0.112 [0.035,0.183]","5.906 [0.82,10.263]","0.057 [0,1]","0.753",""
"4","cerrisAfares","Quercus cerris|4-1|OAK-MOR-1060","81","0.117 [0.036,0.188]","5.998 [0.82,10.263]","0.054 [0,1]","0.753",""
"5","cerrisAfares","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","81","0.106 [0.035,0.168]","5.471 [1.472,9.811]","0.065 [0,0.423]","0.667",""
"6","cerrisAfares","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","81","0.107 [0.034,0.192]","5.498 [1.654,9.811]","0.073 [0,0.451]","0.704",""
"7","-","-","-","-","-","-","-","-"
"8","cerrisCrenata","Quercus cerris|Coll #412|OAK-MOR-736","100","0.452 [0.395,0.506]","29.757 [19.215,44.419]","0 [0,0]","1","***"
"9","cerrisCrenata","Quercus cerris|TUS13-002|OAK-MOR-591","100","0.475 [0.405,0.547]","32.453 [19.685,44.825]","0 [0,0]","1","***"
"10","cerrisCrenata","Quercus cerris|sample 1 (s.n)|OAK-MOR-728","150","0.334 [0.274,0.395]","19.162 [12.873,26.642]","0 [0,0]","1","***"
"11","cerrisCrenata","Quercus cerris|sample 2 (s.n)  ??|OAK-MOR-729","150","0.333 [0.274,0.395]","19.101 [12.32,26.642]","0 [0,0]","1","***"
"12","cerrisCrenata","Quercus cerris|4-1|OAK-MOR-1060","150","0.331 [0.282,0.39]","18.231 [11.641,26.563]","0 [0,0]","1","***"
"13","cerrisCrenata","Quercus cerris|4-2|OAK-MOR-1061","150","0.334 [0.283,0.379]","18.603 [12.366,26.563]","0 [0,0]","1","***"
"14","-","-","-","-","-","-","-","-"
"15","crenata_v_crenata","Quercus brantii|s.n|OAK-MOR-659","20","0.053 [0.032,0.084]","2.854 [1.672,5.248]","0.136 [0,0.27]","0.3",""
"16","crenata_v_crenata","Quercus macrolepis|s.n|OAK-MOR-662","20","0.055 [0.033,0.084]","2.92 [1.721,5.248]","0.106 [0,0.23]","0.3",""
"17","crenata_v_crenata","Quercus ithaburensis|1-2|OAK-MOR-1055","20","0.044 [0.023,0.082]","2.395 [0.988,5.248]","0.537 [0,0.968]","0.25",""
"18","crenata_v_crenata","Quercus ithaburense|collected on 21.10.2013|OAK-MOR-735","25","0.047 [0.025,0.079]","2.416 [1.19,5.066]","0.412 [0,0.633]","0.2",""
"19","crenata_v_crenata","Quercus ithaburensis|KOCHAL2|OAK-MOR-599","25","0.048 [0.025,0.079]","2.163 [0.436,5.066]","0.594 [0,1]","0.2",""
"20","crenata_v_crenata","Quercus libani|IL-SH-176|OAK-MOR-191","25","0.082 [0.058,0.102]","4.911 [3.766,6.156]","0 [0,0]","1","***"
"21","crenata_v_crenata","Quercus afares|1977,224|OAK-MOR-983","25","0.086 [0.058,0.114]","5.015 [3.766,6.156]","0 [0,0]","1","***"
